Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Mauritania,MRT,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.08
Mauritania,MRT,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,15.88
Mauritania,MRT,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,38.77
Mauritania,MRT,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,47.42
Mauritania,MRT,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,49.5
Mauritania,MRT,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,51.65
Mauritania,MRT,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,53.85
Mauritania,MRT,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,55.7
Mauritania,MRT,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,57.42
Mauritania,MRT,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.81
Mauritania,MRT,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.16
Mauritania,MRT,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,27.3
Mauritania,MRT,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,38.08
Mauritania,MRT,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,42.8
Mauritania,MRT,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,52.64
Mauritania,MRT,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,60.85
Mauritania,MRT,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,62.72
Mauritania,MRT,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,65.95
Mauritania,MRT,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,41.9
Mauritania,MRT,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,50.88
Mauritania,MRT,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,57.66
Mauritania,MRT,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,61.05
Mauritania,MRT,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,63.2
Mauritania,MRT,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,65.47
Mauritania,MRT,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,66.57
Mauritania,MRT,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,67.73
Mauritania,MRT,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,69.31
Mauritania,MRT,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,32.16
Mauritania,MRT,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,39.14
Mauritania,MRT,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,46.42
Mauritania,MRT,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,51.73
Mauritania,MRT,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,55.8
Mauritania,MRT,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,59.4
Mauritania,MRT,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,61.72
Mauritania,MRT,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,62.99
Mauritania,MRT,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,64.88
Mauritania,MRT,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,14.92
Mauritania,MRT,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,44.47
Mauritania,MRT,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,53.12
Mauritania,MRT,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,55.43
Mauritania,MRT,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,57.3
Mauritania,MRT,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,65.2
Mauritania,MRT,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,65.2
Mauritania,MRT,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,70.2
Mauritania,MRT,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,70.2
Mauritania,MRT,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,11.65
Mauritania,MRT,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,24.47
Mauritania,MRT,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,35.25
Mauritania,MRT,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,40.46
Mauritania,MRT,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,49.8
Mauritania,MRT,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,57.2
