Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Mauritius,MUS,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.2
Mauritius,MUS,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.11
Mauritius,MUS,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.73
Mauritius,MUS,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Mauritius,MUS,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.6
Mauritius,MUS,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.7
Mauritius,MUS,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.49
Mauritius,MUS,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.3
Mauritius,MUS,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10
Mauritius,MUS,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.21
Mauritius,MUS,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.75
Mauritius,MUS,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.75
Mauritius,MUS,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.1
Mauritius,MUS,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.6
Mauritius,MUS,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.3
Mauritius,MUS,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.09
Mauritius,MUS,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.91
Mauritius,MUS,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7
Mauritius,MUS,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.03
Mauritius,MUS,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,9.64
Mauritius,MUS,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,13.56
Mauritius,MUS,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,14.8
Mauritius,MUS,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,19.54
Mauritius,MUS,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,23.55
Mauritius,MUS,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,27.55
Mauritius,MUS,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,31.01
Mauritius,MUS,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,35.02
Mauritius,MUS,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.38
Mauritius,MUS,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.61
Mauritius,MUS,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,9.55
Mauritius,MUS,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,10.35
Mauritius,MUS,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,13.95
Mauritius,MUS,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,17.22
Mauritius,MUS,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,21.05
Mauritius,MUS,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,22.23
Mauritius,MUS,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,25.08
Mauritius,MUS,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.41
Mauritius,MUS,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.54
Mauritius,MUS,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.11
Mauritius,MUS,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.7
Mauritius,MUS,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.6
Mauritius,MUS,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,4.4
Mauritius,MUS,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,12.59
Mauritius,MUS,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,15.3
Mauritius,MUS,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,18
Mauritius,MUS,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.4
Mauritius,MUS,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.58
Mauritius,MUS,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.08
Mauritius,MUS,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.54
Mauritius,MUS,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,2.4
Mauritius,MUS,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.5
Mauritius,MUS,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,8.5
Mauritius,MUS,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,9.53
Mauritius,MUS,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,12
Mauritius,MUS,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.54
Mauritius,MUS,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.92
