Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Mexico,MEX,2014,Coverage: Finished Primary School,2.0.cov.FPS,93.0813370915516
Mexico,MEX,2012,Coverage: Finished Primary School,2.0.cov.FPS,92.5827962041069
Mexico,MEX,2000,Coverage: Finished Primary School,2.0.cov.FPS,80.525234023608
Mexico,MEX,2014,HOI: Finished Primary School,2.0.hoi.FPS,91.0817860042453
Mexico,MEX,2012,HOI: Finished Primary School,2.0.hoi.FPS,90.2935060439625
Mexico,MEX,2000,HOI: Finished Primary School,2.0.hoi.FPS,74.5177452385771
Mexico,MEX,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.12
Mexico,MEX,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.17
Mexico,MEX,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.78
Mexico,MEX,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.27
Mexico,MEX,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.32
Mexico,MEX,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10.36
Mexico,MEX,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.9
Mexico,MEX,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,22.91
Mexico,MEX,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,31.64
Mexico,MEX,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.16
Mexico,MEX,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.22
Mexico,MEX,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.7
Mexico,MEX,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.69
Mexico,MEX,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.05
Mexico,MEX,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,9.76
Mexico,MEX,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,14.2
Mexico,MEX,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,17.34
Mexico,MEX,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,18.4
Mexico,MEX,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.19
Mexico,MEX,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,9.29
Mexico,MEX,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,11.72
Mexico,MEX,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,14.61
Mexico,MEX,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,18.57
Mexico,MEX,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,23.78
Mexico,MEX,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,29.91
Mexico,MEX,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,34.53
Mexico,MEX,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,38.74
Mexico,MEX,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.24
Mexico,MEX,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.83
Mexico,MEX,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,10.31
Mexico,MEX,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,12.88
