Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Moldova,MDA,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.29
Moldova,MDA,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.6
Moldova,MDA,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.26
Moldova,MDA,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.74
Moldova,MDA,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.7
Moldova,MDA,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.88
Moldova,MDA,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.51
Moldova,MDA,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.79
Moldova,MDA,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.79
Moldova,MDA,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.39
Moldova,MDA,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.74
Moldova,MDA,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.66
Moldova,MDA,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.07
Moldova,MDA,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.7
Moldova,MDA,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.14
Moldova,MDA,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,9.18
Moldova,MDA,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,12.74
Moldova,MDA,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,16.01
Moldova,MDA,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.27
Moldova,MDA,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.55
Moldova,MDA,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.11
Moldova,MDA,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,9.89
Moldova,MDA,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,13.82
Moldova,MDA,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,17.82
Moldova,MDA,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,22.2
Moldova,MDA,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,27.03
Moldova,MDA,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,33.19
Moldova,MDA,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.98
Moldova,MDA,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,3.3
Moldova,MDA,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.25
Moldova,MDA,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.35
Moldova,MDA,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,10.28
