Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Mongolia,MNG,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.32
Mongolia,MNG,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.35
Mongolia,MNG,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.34
Mongolia,MNG,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.84
Mongolia,MNG,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.89
Mongolia,MNG,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.55
Mongolia,MNG,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.17
Mongolia,MNG,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.46
Mongolia,MNG,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.98
Mongolia,MNG,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.42
Mongolia,MNG,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.25
Mongolia,MNG,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.67
Mongolia,MNG,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.2
Mongolia,MNG,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.04
Mongolia,MNG,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.15
Mongolia,MNG,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.88
Mongolia,MNG,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.56
Mongolia,MNG,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.98
Mongolia,MNG,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.9
Mongolia,MNG,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.74
Mongolia,MNG,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.84
Mongolia,MNG,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.74
Mongolia,MNG,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,2.57
Mongolia,MNG,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.32
Mongolia,MNG,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,12.77
