Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Morocco,MAR,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,21.95
Morocco,MAR,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,36.26
Morocco,MAR,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,50.81
Morocco,MAR,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,54.15
Morocco,MAR,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,55.55
Morocco,MAR,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,63.55
Morocco,MAR,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,72.22
Morocco,MAR,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,78.96
Morocco,MAR,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,84.2
Morocco,MAR,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,24.67
Morocco,MAR,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,35.12
Morocco,MAR,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,47.29
Morocco,MAR,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,48.51
Morocco,MAR,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,49.31
Morocco,MAR,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,58.31
Morocco,MAR,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,66.91
Morocco,MAR,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,71.51
Morocco,MAR,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,76.6
Morocco,MAR,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,54.44
Morocco,MAR,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,60.68
Morocco,MAR,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,66.14
Morocco,MAR,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,70.41
Morocco,MAR,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,75
Morocco,MAR,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,80.32
Morocco,MAR,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,85.06
Morocco,MAR,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,89.03
Morocco,MAR,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,92.31
Morocco,MAR,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,43.76
Morocco,MAR,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,49.49
Morocco,MAR,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,54.91
Morocco,MAR,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,59.42
Morocco,MAR,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,64.75
Morocco,MAR,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,71.12
Morocco,MAR,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,76.95
Morocco,MAR,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,81.84
Morocco,MAR,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,87.11
Morocco,MAR,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,32.86
Morocco,MAR,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,47.41
Morocco,MAR,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,50.75
Morocco,MAR,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,52.15
Morocco,MAR,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,60.15
Morocco,MAR,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,68.82
Morocco,MAR,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,75.56
Morocco,MAR,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,80.8
Morocco,MAR,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,84.8
Morocco,MAR,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,24
Morocco,MAR,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,36.17
Morocco,MAR,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,37.39
Morocco,MAR,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,38.19
Morocco,MAR,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,47.19
Morocco,MAR,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,55.79
Morocco,MAR,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,60.39
Morocco,MAR,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,65.48
Morocco,MAR,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,74.7
Morocco,MAR,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,47.41
Morocco,MAR,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,50.75
Morocco,MAR,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,52.15
Morocco,MAR,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,60.15
Morocco,MAR,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,68.82
Morocco,MAR,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,75.56
Morocco,MAR,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,80.8
