Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Mozambique,MOZ,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,60.63
Mozambique,MOZ,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,81.51
Mozambique,MOZ,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,84.25
Mozambique,MOZ,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,78.91
Mozambique,MOZ,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,71.15
Mozambique,MOZ,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,58.51
Mozambique,MOZ,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,66.9
Mozambique,MOZ,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,73.25
Mozambique,MOZ,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,70.42
Mozambique,MOZ,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,52.42
Mozambique,MOZ,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,73.67
Mozambique,MOZ,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,78.66
Mozambique,MOZ,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,74.65
Mozambique,MOZ,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,68.64
Mozambique,MOZ,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,47.48
Mozambique,MOZ,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,49.3
Mozambique,MOZ,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,55.63
Mozambique,MOZ,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,49.61
Mozambique,MOZ,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,77.58
Mozambique,MOZ,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,83.24
Mozambique,MOZ,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,85.16
Mozambique,MOZ,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,86.4
Mozambique,MOZ,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,86.23
Mozambique,MOZ,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,84.32
Mozambique,MOZ,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,86.53
Mozambique,MOZ,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,88.98
Mozambique,MOZ,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,88
Mozambique,MOZ,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,68.14
Mozambique,MOZ,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,74.72
Mozambique,MOZ,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,77.45
Mozambique,MOZ,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,79.01
Mozambique,MOZ,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,77
Mozambique,MOZ,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,71.74
Mozambique,MOZ,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,71.76
Mozambique,MOZ,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,75.44
Mozambique,MOZ,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,73.25
Mozambique,MOZ,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,74.73
Mozambique,MOZ,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,77.47
Mozambique,MOZ,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,73.07
Mozambique,MOZ,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,79.78
Mozambique,MOZ,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,83.99
Mozambique,MOZ,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,81.21
Mozambique,MOZ,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,83.4
Mozambique,MOZ,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,95.66
Mozambique,MOZ,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,95.66
Mozambique,MOZ,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,63.11
Mozambique,MOZ,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,68.1
Mozambique,MOZ,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,65.02
Mozambique,MOZ,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,73.23
Mozambique,MOZ,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,74.54
Mozambique,MOZ,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,68.22
Mozambique,MOZ,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,65.1
Mozambique,MOZ,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,88.96
