Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Namibia,NAM,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,22.53
Namibia,NAM,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,19.5
Namibia,NAM,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,19.5
Namibia,NAM,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,13.3
Namibia,NAM,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.22
Namibia,NAM,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.37
Namibia,NAM,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.5
Namibia,NAM,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.61
Namibia,NAM,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.17
Namibia,NAM,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,23.72
Namibia,NAM,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,22.67
Namibia,NAM,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,23.7
Namibia,NAM,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,14.6
Namibia,NAM,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.08
Namibia,NAM,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.25
Namibia,NAM,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.39
Namibia,NAM,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.51
Namibia,NAM,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,19.98
Namibia,NAM,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,18.63
Namibia,NAM,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,19.7
Namibia,NAM,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,23.6
Namibia,NAM,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,23.42
Namibia,NAM,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,26.08
Namibia,NAM,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,31.29
Namibia,NAM,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,36.26
Namibia,NAM,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,40.58
Namibia,NAM,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,47.13
Namibia,NAM,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,20.81
Namibia,NAM,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,21.54
Namibia,NAM,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,23.7
Namibia,NAM,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,22.53
Namibia,NAM,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,24.1
Namibia,NAM,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,28.42
Namibia,NAM,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,32.71
Namibia,NAM,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,36.42
Namibia,NAM,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,42.24
Namibia,NAM,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,10.9
Namibia,NAM,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,10.9
Namibia,NAM,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,10.9
Namibia,NAM,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,11.8
Namibia,NAM,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,11.49
Namibia,NAM,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,15.58
Namibia,NAM,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,23.28
Namibia,NAM,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,27.38
Namibia,NAM,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,37.98
Namibia,NAM,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,16.85
Namibia,NAM,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,18
Namibia,NAM,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,13.2
Namibia,NAM,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,13.7
Namibia,NAM,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,13.18
Namibia,NAM,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,16.18
Namibia,NAM,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,21.94
Namibia,NAM,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,25.03
Namibia,NAM,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,33.85
Namibia,NAM,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,10.9
Namibia,NAM,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,10.9
Namibia,NAM,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,11.8
Namibia,NAM,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,12.62
