Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Nepal,NPL,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,6.89
Nepal,NPL,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.87
Nepal,NPL,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,34.86
Nepal,NPL,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,56.78
Nepal,NPL,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,61
Nepal,NPL,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,79.1
Nepal,NPL,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,89.6
Nepal,NPL,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,91.75
Nepal,NPL,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,94.4
Nepal,NPL,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.29
Nepal,NPL,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.04
Nepal,NPL,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,26.36
Nepal,NPL,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,43.08
Nepal,NPL,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,45
Nepal,NPL,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,56.76
Nepal,NPL,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,70.7
Nepal,NPL,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,76.57
Nepal,NPL,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,82.2
Nepal,NPL,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,48.03
Nepal,NPL,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,58.63
Nepal,NPL,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,68.2
Nepal,NPL,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,77.48
Nepal,NPL,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,82.03
Nepal,NPL,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,90.23
Nepal,NPL,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,96.46
Nepal,NPL,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,97.47
Nepal,NPL,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,98.29
Nepal,NPL,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,36.15
Nepal,NPL,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,44.62
Nepal,NPL,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,53.4
Nepal,NPL,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,61.82
Nepal,NPL,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,65.77
Nepal,NPL,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,75.43
Nepal,NPL,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,85.09
Nepal,NPL,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,89.08
Nepal,NPL,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,92.49
Nepal,NPL,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,10.94
Nepal,NPL,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,30.24
Nepal,NPL,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,48.88
Nepal,NPL,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,62.17
Nepal,NPL,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,73.2
Nepal,NPL,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,81.7
Nepal,NPL,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,94.69
Nepal,NPL,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,97.09
Nepal,NPL,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,97.3
Nepal,NPL,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,7.65
Nepal,NPL,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,21.15
Nepal,NPL,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,36.44
Nepal,NPL,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,46.7
Nepal,NPL,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,55.8
Nepal,NPL,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,64.4
Nepal,NPL,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,79.1
Nepal,NPL,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,85.1
Nepal,NPL,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,88.6
Nepal,NPL,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,30.24
Nepal,NPL,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,48.88
Nepal,NPL,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,62.17
Nepal,NPL,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,71.88
Nepal,NPL,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,81.7
Nepal,NPL,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,90.5
Nepal,NPL,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,97.09
Nepal,NPL,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,97.2
Nepal,NPL,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,98.9
Nepal,NPL,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,21.15
Nepal,NPL,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,36.44
Nepal,NPL,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,46.7
Nepal,NPL,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,54.28
Nepal,NPL,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,64.4
