Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
New Caledonia,NCL,1994,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,12776
New Caledonia,NCL,1991,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,11431
New Caledonia,NCL,1990,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,10745
New Caledonia,NCL,1989,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,10330
New Caledonia,NCL,1988,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,9801
New Caledonia,NCL,1987,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,9384
New Caledonia,NCL,1986,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,9214
New Caledonia,NCL,1985,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,8647
New Caledonia,NCL,1984,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,9028
New Caledonia,NCL,1983,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,8675
New Caledonia,NCL,1982,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,8062
New Caledonia,NCL,1981,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,8043
New Caledonia,NCL,1980,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,10313
New Caledonia,NCL,1979,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,7194
New Caledonia,NCL,1978,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,7328
New Caledonia,NCL,1977,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,6451
New Caledonia,NCL,1976,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,5577
New Caledonia,NCL,1975,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,6195
New Caledonia,NCL,1974,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,4911
New Caledonia,NCL,1973,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,4361
New Caledonia,NCL,1972,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3972
New Caledonia,NCL,1971,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3053
New Caledonia,NCL,1970,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3044
New Caledonia,NCL,1991,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,5531
New Caledonia,NCL,1990,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,5261
New Caledonia,NCL,1989,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,5025
New Caledonia,NCL,1988,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,4751
New Caledonia,NCL,1987,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,4542
New Caledonia,NCL,1986,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,4535
New Caledonia,NCL,1985,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,4280
New Caledonia,NCL,1984,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,4490
New Caledonia,NCL,1983,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,4298
New Caledonia,NCL,1982,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,4026
New Caledonia,NCL,1981,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,3935
New Caledonia,NCL,1980,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,5121
New Caledonia,NCL,1979,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,3570
New Caledonia,NCL,1978,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,3602
New Caledonia,NCL,1977,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,3171
New Caledonia,NCL,1976,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,2790
New Caledonia,NCL,1975,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,3095
New Caledonia,NCL,1974,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,2454
New Caledonia,NCL,1973,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,2192
New Caledonia,NCL,1972,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,1963
New Caledonia,NCL,1971,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,1545
New Caledonia,NCL,1970,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,1527
New Caledonia,NCL,1991,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.38597
New Caledonia,NCL,1990,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.96231
New Caledonia,NCL,1989,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.64472
New Caledonia,NCL,1988,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.47465
New Caledonia,NCL,1987,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.40153
New Caledonia,NCL,1986,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.21858
