Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Nicaragua,NIC,2014,Coverage: Finished Primary School,2.0.cov.FPS,71.4761526277641
Nicaragua,NIC,2012,Coverage: Finished Primary School,2.0.cov.FPS,60.0595455641993
Nicaragua,NIC,2000,Coverage: Finished Primary School,2.0.cov.FPS,54.3157266269283
Nicaragua,NIC,2014,HOI: Finished Primary School,2.0.hoi.FPS,63.047874940353
Nicaragua,NIC,2012,HOI: Finished Primary School,2.0.hoi.FPS,50.6112568155184
Nicaragua,NIC,2000,HOI: Finished Primary School,2.0.hoi.FPS,42.7036509955997
Nicaragua,NIC,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.72
Nicaragua,NIC,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,9.24
Nicaragua,NIC,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,19.03
Nicaragua,NIC,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,25.99
Nicaragua,NIC,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,30.62
Nicaragua,NIC,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,41.04
Nicaragua,NIC,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,47.6
Nicaragua,NIC,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,54.51
Nicaragua,NIC,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,60.34
Nicaragua,NIC,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.86
Nicaragua,NIC,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.21
Nicaragua,NIC,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,20.11
Nicaragua,NIC,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,26.82
Nicaragua,NIC,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,27.09
Nicaragua,NIC,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,32.07
Nicaragua,NIC,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,36.15
Nicaragua,NIC,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,35.8
Nicaragua,NIC,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,36.9
Nicaragua,NIC,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,17.18
Nicaragua,NIC,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,22.13
Nicaragua,NIC,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,28.48
Nicaragua,NIC,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,35.51
Nicaragua,NIC,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,42.77
Nicaragua,NIC,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,55.22
Nicaragua,NIC,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,58.61
