Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Niger,NER,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,69.64
Niger,NER,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,80.02
Niger,NER,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,82.94
Niger,NER,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,82.9
Niger,NER,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,82.88
Niger,NER,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,86.2
Niger,NER,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,90.95
Niger,NER,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,93.8
Niger,NER,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,96.65
Niger,NER,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,59.29
Niger,NER,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,70.48
Niger,NER,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,72.96
Niger,NER,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,71.93
Niger,NER,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,73.93
Niger,NER,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,78.93
Niger,NER,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,83.47
Niger,NER,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,87.3
Niger,NER,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,91.12
Niger,NER,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,82.28
Niger,NER,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,85.9
Niger,NER,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,87.78
Niger,NER,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,89.37
Niger,NER,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,91.34
Niger,NER,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,93.73
Niger,NER,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,95.78
Niger,NER,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,97.12
Niger,NER,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,97.96
Niger,NER,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,72.85
Niger,NER,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,76.84
Niger,NER,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,78.95
Niger,NER,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,80.93
Niger,NER,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,83.67
Niger,NER,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,86.5
Niger,NER,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,88.68
Niger,NER,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,90.16
Niger,NER,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,91.05
Niger,NER,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,79.68
Niger,NER,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,82.6
Niger,NER,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,82.56
Niger,NER,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,82.53
Niger,NER,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,85.86
Niger,NER,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,90.61
Niger,NER,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,93.46
