Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Nigeria,NGA,2013,DHS: Gross attendance rate. Post Secondary,HH.DHS.GAR.456,6.86500231628672
Nigeria,NGA,2008,DHS: Gross attendance rate. Post Secondary,HH.DHS.GAR.456,7.14923404553101
Nigeria,NGA,2003,DHS: Gross attendance rate. Post Secondary,HH.DHS.GAR.456,6.4583091033341
Nigeria,NGA,1999,DHS: Gross attendance rate. Post Secondary,HH.DHS.GAR.456,4.43153869566608
Nigeria,NGA,1990,DHS: Gross attendance rate. Post Secondary,HH.DHS.GAR.456,1.9703378873036
Nigeria,NGA,2013,DHS: Gross attendance rate. Post Secondary. Female,HH.DHS.GAR.456.F,5.60557227525197
Nigeria,NGA,2008,DHS: Gross attendance rate. Post Secondary. Female,HH.DHS.GAR.456.F,6.436796070428
Nigeria,NGA,2003,DHS: Gross attendance rate. Post Secondary. Female,HH.DHS.GAR.456.F,5.21991599067325
Nigeria,NGA,1999,DHS: Gross attendance rate. Post Secondary. Female,HH.DHS.GAR.456.F,3.50184383298454
Nigeria,NGA,1990,DHS: Gross attendance rate. Post Secondary. Female,HH.DHS.GAR.456.F,1.3261080258186
Nigeria,NGA,2013,DHS: Gross attendance rate. Post Secondary. Male,HH.DHS.GAR.456.M,8.40928998295695
Nigeria,NGA,2008,DHS: Gross attendance rate. Post Secondary. Male,HH.DHS.GAR.456.M,7.99277574275786
Nigeria,NGA,2003,DHS: Gross attendance rate. Post Secondary. Male,HH.DHS.GAR.456.M,7.87190911740402
Nigeria,NGA,1999,DHS: Gross attendance rate. Post Secondary. Male,HH.DHS.GAR.456.M,5.63654728138211
Nigeria,NGA,1990,DHS: Gross attendance rate. Post Secondary. Male,HH.DHS.GAR.456.M,2.79956763699339
Nigeria,NGA,2013,DHS: Gross attendance rate. Post Secondary. Quintile 1,HH.DHS.GAR.456.Q1,0.475235999353898
Nigeria,NGA,2008,DHS: Gross attendance rate. Post Secondary. Quintile 1,HH.DHS.GAR.456.Q1,0.337249697426233
Nigeria,NGA,2003,DHS: Gross attendance rate. Post Secondary. Quintile 1,HH.DHS.GAR.456.Q1,1.13075885772523
Nigeria,NGA,1990,DHS: Gross attendance rate. Post Secondary. Quintile 1,HH.DHS.GAR.456.Q1,0.180665087594148
Nigeria,NGA,2013,DHS: Gross attendance rate. Post Secondary. Quintile 2,HH.DHS.GAR.456.Q2,1.09018195781324
Nigeria,NGA,2008,DHS: Gross attendance rate. Post Secondary. Quintile 2,HH.DHS.GAR.456.Q2,1.09951967688335
Nigeria,NGA,2003,DHS: Gross attendance rate. Post Secondary. Quintile 2,HH.DHS.GAR.456.Q2,1.8377556930994
