Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Pakistan,PAK,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,35.46
Pakistan,PAK,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,40.53
Pakistan,PAK,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,55.15
Pakistan,PAK,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,53.07
Pakistan,PAK,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,59.6
Pakistan,PAK,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,65.13
Pakistan,PAK,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,75.7
Pakistan,PAK,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,74.13
Pakistan,PAK,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,80.85
Pakistan,PAK,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,28.33
Pakistan,PAK,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,31.22
Pakistan,PAK,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,44.35
Pakistan,PAK,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,45.54
Pakistan,PAK,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,47.5
Pakistan,PAK,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,53.51
Pakistan,PAK,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,65.6
Pakistan,PAK,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,64.42
Pakistan,PAK,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,74.56
Pakistan,PAK,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,59.15
Pakistan,PAK,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,59.42
Pakistan,PAK,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,73.3
Pakistan,PAK,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,76.65
Pakistan,PAK,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,80.56
Pakistan,PAK,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,83.46
Pakistan,PAK,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,88.47
Pakistan,PAK,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,87.68
Pakistan,PAK,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,89.92
Pakistan,PAK,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,45.38
Pakistan,PAK,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,44.97
Pakistan,PAK,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,60.24
Pakistan,PAK,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,63.55
Pakistan,PAK,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,66.19
Pakistan,PAK,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,70.18
Pakistan,PAK,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,74.31
Pakistan,PAK,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,76.24
Pakistan,PAK,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,79.66
