Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Palau,PLW,2014,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,518
Palau,PLW,2013,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,581
Palau,PLW,2004,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,638
Palau,PLW,2003,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,650
Palau,PLW,2002,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,627
Palau,PLW,2000,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,632
Palau,PLW,1999,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,656
Palau,PLW,2014,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,269
Palau,PLW,2013,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,293
Palau,PLW,2004,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,330
Palau,PLW,2003,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,312
Palau,PLW,2000,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,322
Palau,PLW,1999,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,353
Palau,PLW,2014,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,51.9305
Palau,PLW,2013,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,50.43029
Palau,PLW,2004,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,51.72414
Palau,PLW,2003,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48
Palau,PLW,2000,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,50.94937
Palau,PLW,1999,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,53.81098
Palau,PLW,2014,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,75.07246
Palau,PLW,2014,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,78.19767
Palau,PLW,2014,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,71.96532
Palau,PLW,2014,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,22.39382
