Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Panama,PAN,2014,Coverage: Finished Primary School,2.0.cov.FPS,83.228964939189
Panama,PAN,2012,Coverage: Finished Primary School,2.0.cov.FPS,83.5514556963623
Panama,PAN,2000,Coverage: Finished Primary School,2.0.cov.FPS,80.2748165956944
Panama,PAN,2014,HOI: Finished Primary School,2.0.hoi.FPS,78.5751761192008
Panama,PAN,2012,HOI: Finished Primary School,2.0.hoi.FPS,78.6852779964768
Panama,PAN,2000,HOI: Finished Primary School,2.0.hoi.FPS,75.2527181046822
Panama,PAN,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.85
Panama,PAN,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.62
Panama,PAN,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.3
Panama,PAN,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.11
Panama,PAN,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.95
Panama,PAN,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.15
Panama,PAN,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.4
Panama,PAN,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.34
Panama,PAN,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.96
Panama,PAN,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.59
Panama,PAN,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.76
Panama,PAN,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.92
Panama,PAN,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.7
Panama,PAN,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.37
Panama,PAN,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.03
Panama,PAN,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.7
Panama,PAN,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.5
Panama,PAN,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,12.3
Panama,PAN,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.8
Panama,PAN,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.75
Panama,PAN,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.04
Panama,PAN,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.97
Panama,PAN,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.18
Panama,PAN,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,11.8
Panama,PAN,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,14.94
Panama,PAN,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,16.16
Panama,PAN,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,17.67
Panama,PAN,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.19
Panama,PAN,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.88
Panama,PAN,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.35
Panama,PAN,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,8.2
Panama,PAN,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,9.43
Panama,PAN,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,11.04
Panama,PAN,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,14.09
Panama,PAN,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,17.33
Panama,PAN,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,21.04
Panama,PAN,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,3.65
Panama,PAN,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,4.49
Panama,PAN,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,4.01
Panama,PAN,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,4.27
Panama,PAN,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,4.3
Panama,PAN,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,5.61
Panama,PAN,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,7.6
Panama,PAN,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,11.3
Panama,PAN,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,9.42
Panama,PAN,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.28
Panama,PAN,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.99
Panama,PAN,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.39
Panama,PAN,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.65
Panama,PAN,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.74
Panama,PAN,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,4.7
Panama,PAN,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,6.7
Panama,PAN,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,10.41
Panama,PAN,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,12.3
Panama,PAN,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,4.49
Panama,PAN,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,4.45
Panama,PAN,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,4.27
Panama,PAN,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,4.29
Panama,PAN,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,5.61
Panama,PAN,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,6.7
Panama,PAN,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,11.3
Panama,PAN,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,9.42
Panama,PAN,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,12.33
Panama,PAN,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,3.99
Panama,PAN,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,3.84
Panama,PAN,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,3.65
Panama,PAN,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,3.7
Panama,PAN,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,4.7
Panama,PAN,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,5.8
Panama,PAN,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,10.4
Panama,PAN,1975,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,11.45
Panama,PAN,1970,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,16.1
Panama,PAN,2010,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,8.81
Panama,PAN,2005,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,8.83
Panama,PAN,2000,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,9.66
Panama,PAN,1995,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,10.98
Panama,PAN,1990,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,13.07
Panama,PAN,1985,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,15.92
Panama,PAN,1980,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,18.89
Panama,PAN,1975,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,20.66
Panama,PAN,1970,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,23.13
Panama,PAN,2010,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,8.14
Panama,PAN,2005,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,8.1
Panama,PAN,2000,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,8.9
Panama,PAN,1995,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,10.11
Panama,PAN,1990,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,12.19
Panama,PAN,1985,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,15.02
Panama,PAN,1980,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,18.3
Panama,PAN,1975,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,21.67
Panama,PAN,1970,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,25.38
Panama,PAN,2010,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,4.98
Panama,PAN,2005,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,4.83
Panama,PAN,2000,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,4.27
Panama,PAN,1995,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,5.77
Panama,PAN,1990,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,5.61
Panama,PAN,1985,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,10.95
Panama,PAN,1980,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,11.3
Panama,PAN,1975,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,14.26
Panama,PAN,1970,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,15.29
Panama,PAN,2010,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,4.39
Panama,PAN,2005,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,4.18
Panama,PAN,2000,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,3.65
Panama,PAN,1995,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,4.82
Panama,PAN,1990,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,4.7
Panama,PAN,1985,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,9.97
Panama,PAN,1980,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,10.4
Panama,PAN,1975,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,15.92
Panama,PAN,1970,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,16.1
Panama,PAN,2010,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,5.52
Panama,PAN,2005,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,4.83
Panama,PAN,2000,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,5.97
Panama,PAN,1995,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,5.77
Panama,PAN,1990,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,10.52
Panama,PAN,1985,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,10.95
Panama,PAN,1980,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,16.6
Panama,PAN,1975,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,15.88
Panama,PAN,1970,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,20.73
Panama,PAN,2010,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,4.83
Panama,PAN,2005,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,4.18
Panama,PAN,2000,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,4.98
Panama,PAN,1995,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,4.82
Panama,PAN,1990,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,9.43
Panama,PAN,1985,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,9.97
Panama,PAN,1980,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,15.7
Panama,PAN,1975,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,15.92
Panama,PAN,1970,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,22.7
Panama,PAN,2010,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,5.52
Panama,PAN,2005,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,6.56
Panama,PAN,2000,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,5.97
Panama,PAN,1995,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,10.59
Panama,PAN,1990,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,10.52
Panama,PAN,1985,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,16.52
Panama,PAN,1980,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,16.6
Panama,PAN,1975,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,21.61
Panama,PAN,1970,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,20.73
Panama,PAN,2010,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,4.83
Panama,PAN,2005,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,5.55
Panama,PAN,2000,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,4.98
Panama,PAN,1995,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,9.55
Panama,PAN,1990,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,9.43
Panama,PAN,1985,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,15.54
Panama,PAN,1980,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,15.7
Panama,PAN,1975,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,22.34
Panama,PAN,1970,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,22.7
Panama,PAN,2010,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,7.27
Panama,PAN,2005,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,6.56
Panama,PAN,2000,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,10.67
Panama,PAN,1995,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,10.59
Panama,PAN,1990,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,16.41
Panama,PAN,1985,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,16.52
Panama,PAN,1980,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,22.7
