Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Papua New Guinea,PNG,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,40.67
Papua New Guinea,PNG,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,30.17
Papua New Guinea,PNG,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,30.7
Papua New Guinea,PNG,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,34.67
Papua New Guinea,PNG,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,37.32
Papua New Guinea,PNG,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,43.42
Papua New Guinea,PNG,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,48.99
Papua New Guinea,PNG,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,55.03
Papua New Guinea,PNG,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,57.5
Papua New Guinea,PNG,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,39.7
Papua New Guinea,PNG,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,28.76
Papua New Guinea,PNG,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,28.8
Papua New Guinea,PNG,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,33.38
Papua New Guinea,PNG,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,35.17
Papua New Guinea,PNG,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,37.15
Papua New Guinea,PNG,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,40.19
Papua New Guinea,PNG,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,43.14
Papua New Guinea,PNG,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,50.7
Papua New Guinea,PNG,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,46.42
Papua New Guinea,PNG,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,49.18
Papua New Guinea,PNG,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,54.39
Papua New Guinea,PNG,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,60.16
Papua New Guinea,PNG,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,65.63
Papua New Guinea,PNG,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,71.35
Papua New Guinea,PNG,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,74.52
Papua New Guinea,PNG,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,78.9
Papua New Guinea,PNG,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,80.34
Papua New Guinea,PNG,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,37.93
Papua New Guinea,PNG,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,39.94
Papua New Guinea,PNG,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,44.85
Papua New Guinea,PNG,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,50.34
Papua New Guinea,PNG,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,55.67
Papua New Guinea,PNG,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,61.67
Papua New Guinea,PNG,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,67.73
Papua New Guinea,PNG,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,72.26
Papua New Guinea,PNG,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,75.47
Papua New Guinea,PNG,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,28.07
Papua New Guinea,PNG,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,28.57
Papua New Guinea,PNG,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,35.6
Papua New Guinea,PNG,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,42
Papua New Guinea,PNG,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,62.4
Papua New Guinea,PNG,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,69.83
Papua New Guinea,PNG,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,60.38
Papua New Guinea,PNG,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,74.54
Papua New Guinea,PNG,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,70.4
Papua New Guinea,PNG,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,22.7
Papua New Guinea,PNG,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,22.7
Papua New Guinea,PNG,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,30.5
Papua New Guinea,PNG,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,34.5
Papua New Guinea,PNG,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,39.75
Papua New Guinea,PNG,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,44.58
Papua New Guinea,PNG,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,50.37
Papua New Guinea,PNG,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,66
Papua New Guinea,PNG,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,63.3
Papua New Guinea,PNG,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,28.57
Papua New Guinea,PNG,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,35.56
Papua New Guinea,PNG,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,42
