Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Paraguay,PRY,2014,Coverage: Finished Primary School,2.0.cov.FPS,75.6583059471179
Paraguay,PRY,2012,Coverage: Finished Primary School,2.0.cov.FPS,78.8684587989314
Paraguay,PRY,2000,Coverage: Finished Primary School,2.0.cov.FPS,56.4507669157836
Paraguay,PRY,2014,HOI: Finished Primary School,2.0.hoi.FPS,69.2234107128812
Paraguay,PRY,2012,HOI: Finished Primary School,2.0.hoi.FPS,73.021094953101
Paraguay,PRY,2000,HOI: Finished Primary School,2.0.hoi.FPS,48.0529931585135
Paraguay,PRY,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.96
Paraguay,PRY,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.51
Paraguay,PRY,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.96
Paraguay,PRY,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.18
Paraguay,PRY,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.05
Paraguay,PRY,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.68
Paraguay,PRY,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.7
Paraguay,PRY,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.52
Paraguay,PRY,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.8
Paraguay,PRY,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.22
Paraguay,PRY,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.12
Paraguay,PRY,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.94
Paraguay,PRY,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.36
Paraguay,PRY,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.86
Paraguay,PRY,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.48
Paraguay,PRY,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.4
Paraguay,PRY,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.57
Paraguay,PRY,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.7
Paraguay,PRY,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.24
Paraguay,PRY,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.18
Paraguay,PRY,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.61
Paraguay,PRY,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.82
Paraguay,PRY,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.94
Paraguay,PRY,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.66
Paraguay,PRY,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,13.71
Paraguay,PRY,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,16.8
Paraguay,PRY,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,20.66
Paraguay,PRY,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,3.49
Paraguay,PRY,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.07
Paraguay,PRY,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.05
Paraguay,PRY,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.66
Paraguay,PRY,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.37
Paraguay,PRY,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,8.45
Paraguay,PRY,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,10.65
Paraguay,PRY,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,12.59
Paraguay,PRY,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,15.72
Paraguay,PRY,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.04
Paraguay,PRY,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.36
Paraguay,PRY,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,3.84
Paraguay,PRY,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,4.71
Paraguay,PRY,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,3.55
Paraguay,PRY,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,4.08
Paraguay,PRY,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,6.1
Paraguay,PRY,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,8
Paraguay,PRY,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,7.8
Paraguay,PRY,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.97
Paraguay,PRY,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.11
Paraguay,PRY,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.64
Paraguay,PRY,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,4.51
Paraguay,PRY,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.22
Paraguay,PRY,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.66
Paraguay,PRY,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,5.2
Paraguay,PRY,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,6.71
Paraguay,PRY,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,6.7
Paraguay,PRY,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,1.52
Paraguay,PRY,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,1.45
Paraguay,PRY,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,4.7
Paraguay,PRY,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,4.28
Paraguay,PRY,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,4.08
Paraguay,PRY,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,5.85
Paraguay,PRY,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,8
Paraguay,PRY,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,9.24
Paraguay,PRY,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,14.8
Paraguay,PRY,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,1.51
Paraguay,PRY,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,1.32
Paraguay,PRY,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,4.5
Paraguay,PRY,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,3.98
Paraguay,PRY,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,3.66
Paraguay,PRY,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,4.97
Paraguay,PRY,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,6.7
Paraguay,PRY,1975,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,7.73
Paraguay,PRY,1970,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,11.9
Paraguay,PRY,2010,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,5.59
Paraguay,PRY,2005,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,6.84
Paraguay,PRY,2000,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,10.96
Paraguay,PRY,1995,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,9.39
