Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Peru,PER,2014,Coverage: Finished Primary School,2.0.cov.FPS,88.6413061480167
Peru,PER,2012,Coverage: Finished Primary School,2.0.cov.FPS,88.6191862616984
Peru,PER,2000,Coverage: Finished Primary School,2.0.cov.FPS,64.7404893912758
Peru,PER,2014,HOI: Finished Primary School,2.0.hoi.FPS,84.8195133300736
Peru,PER,2012,HOI: Finished Primary School,2.0.hoi.FPS,84.7972748155241
Peru,PER,2000,HOI: Finished Primary School,2.0.hoi.FPS,56.2489090382513
Peru,PER,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.57
Peru,PER,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.76
Peru,PER,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.63
Peru,PER,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.8
Peru,PER,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.37
Peru,PER,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.79
Peru,PER,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10.5
Peru,PER,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10.1
Peru,PER,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.3
Peru,PER,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.46
Peru,PER,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.54
Peru,PER,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.73
Peru,PER,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.28
Peru,PER,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.86
Peru,PER,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.6
Peru,PER,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.5
Peru,PER,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.07
Peru,PER,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,12.1
Peru,PER,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.17
Peru,PER,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.97
Peru,PER,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,13.49
Peru,PER,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,17.47
Peru,PER,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,20.31
Peru,PER,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,22.45
Peru,PER,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,26.08
Peru,PER,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,31.68
Peru,PER,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,38.44
Peru,PER,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.13
Peru,PER,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,7.53
Peru,PER,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,9.53
Peru,PER,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,12.6
Peru,PER,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,14.2
Peru,PER,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,15.28
Peru,PER,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,17.61
Peru,PER,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,22.21
Peru,PER,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,27.86
Peru,PER,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.78
Peru,PER,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.63
