Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Portugal,PRT,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.32
Portugal,PRT,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.71
Portugal,PRT,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.36
Portugal,PRT,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Portugal,PRT,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.8
Portugal,PRT,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4
Portugal,PRT,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.7
Portugal,PRT,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,22.37
Portugal,PRT,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,22
Portugal,PRT,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.31
Portugal,PRT,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.73
Portugal,PRT,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.4
Portugal,PRT,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.08
Portugal,PRT,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.85
Portugal,PRT,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.17
Portugal,PRT,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2
Portugal,PRT,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,22.65
Portugal,PRT,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,23.5
Portugal,PRT,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,13.44
Portugal,PRT,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,16.8
Portugal,PRT,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,11.79
Portugal,PRT,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,13.89
Portugal,PRT,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,16.43
Portugal,PRT,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,21.1
Portugal,PRT,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,25.38
Portugal,PRT,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,35.73
Portugal,PRT,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,45.04
Portugal,PRT,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,10.33
Portugal,PRT,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,12.77
Portugal,PRT,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,9.2
Portugal,PRT,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,11.29
Portugal,PRT,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,13.02
Portugal,PRT,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,16.84
Portugal,PRT,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,21.9
Portugal,PRT,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,29.88
Portugal,PRT,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,37.8
Portugal,PRT,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.17
Portugal,PRT,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.35
Portugal,PRT,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.74
Portugal,PRT,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.94
Portugal,PRT,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.95
Portugal,PRT,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.4
Portugal,PRT,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.1
Portugal,PRT,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,3.5
Portugal,PRT,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,13.5
Portugal,PRT,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.91
Portugal,PRT,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.71
Portugal,PRT,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.78
Portugal,PRT,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.02
Portugal,PRT,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.02
Portugal,PRT,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.43
Portugal,PRT,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,2.3
Portugal,PRT,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.2
Portugal,PRT,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,12.7
Portugal,PRT,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,1.17
Portugal,PRT,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,1.28
Portugal,PRT,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.94
Portugal,PRT,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,1.09
Portugal,PRT,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,1.4
Portugal,PRT,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,1.72
Portugal,PRT,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,3.5
Portugal,PRT,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,8.1
Portugal,PRT,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,34.8
Portugal,PRT,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,1.83
Portugal,PRT,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,1.41
Portugal,PRT,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,1.02
Portugal,PRT,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,1.2
Portugal,PRT,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,1.43
Portugal,PRT,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,1.83
Portugal,PRT,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,3.2
Portugal,PRT,1975,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,7.58
Portugal,PRT,1970,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,19.9
Portugal,PRT,2010,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,15.18
Portugal,PRT,2005,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,19.32
Portugal,PRT,2000,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,13.61
Portugal,PRT,1995,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,16.88
Portugal,PRT,1990,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,20.12
Portugal,PRT,1985,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,25.9
Portugal,PRT,1980,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,33.4
Portugal,PRT,1975,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,41.92
Portugal,PRT,1970,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,52.4
Portugal,PRT,2010,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,11.76
Portugal,PRT,2005,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,14.78
Portugal,PRT,2000,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,10.73
Portugal,PRT,1995,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,13.4
Portugal,PRT,1990,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,16.12
Portugal,PRT,1985,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,20.96
Portugal,PRT,1980,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,27.5
Portugal,PRT,1975,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,34.93
Portugal,PRT,1970,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,44.2
Portugal,PRT,2010,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,1.52
Portugal,PRT,2005,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,1.83
Portugal,PRT,2000,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,1.22
Portugal,PRT,1995,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,1.39
Portugal,PRT,1990,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,1.4
Portugal,PRT,1985,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,2.93
Portugal,PRT,1980,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,3.5
Portugal,PRT,1975,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,25.23
Portugal,PRT,1970,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,34.8
Portugal,PRT,2010,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,2.17
Portugal,PRT,2005,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,2.38
Portugal,PRT,2000,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,1.36
Portugal,PRT,1995,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,1.48
Portugal,PRT,1990,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,1.43
Portugal,PRT,1985,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,2.64
Portugal,PRT,1980,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,3.2
Portugal,PRT,1975,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,16.45
Portugal,PRT,1970,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,19.9
Portugal,PRT,2010,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,2.17
Portugal,PRT,2005,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,2.48
Portugal,PRT,2000,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,1.39
Portugal,PRT,1995,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,1.59
