Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Puerto Rico,PRI,2016,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,34475
Puerto Rico,PRI,2015,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,37685
Puerto Rico,PRI,2013,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,74529
Puerto Rico,PRI,2012,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,92023
Puerto Rico,PRI,2011,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,101472
Puerto Rico,PRI,2010,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,94875
Puerto Rico,PRI,1976,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,19756
Puerto Rico,PRI,1975,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,19422
Puerto Rico,PRI,1974,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,18896
Puerto Rico,PRI,1973,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,18545
Puerto Rico,PRI,1972,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,18146
Puerto Rico,PRI,1971,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,17596
Puerto Rico,PRI,2016,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,17022
Puerto Rico,PRI,2015,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,18519
Puerto Rico,PRI,2013,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,36632
Puerto Rico,PRI,2012,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,45387
Puerto Rico,PRI,2011,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,49784
Puerto Rico,PRI,2010,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,46540
Puerto Rico,PRI,2016,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.37491
Puerto Rico,PRI,2015,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.14157
Puerto Rico,PRI,2013,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.15134
Puerto Rico,PRI,2012,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.32137
Puerto Rico,PRI,2011,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.06181
Puerto Rico,PRI,2010,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.05402
Puerto Rico,PRI,2016,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,25.95328
Puerto Rico,PRI,2015,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,27.59165
Puerto Rico,PRI,2013,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,52.05817
Puerto Rico,PRI,2012,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,70.82273
Puerto Rico,PRI,2011,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,83.99813
Puerto Rico,PRI,2010,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,77.62926
Puerto Rico,PRI,2016,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,26.45692
Puerto Rico,PRI,2015,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,28.00148
Puerto Rico,PRI,2013,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,52.902
Puerto Rico,PRI,2012,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,72.52466
Puerto Rico,PRI,2011,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,85.39964
Puerto Rico,PRI,2010,"Net enrolment rate, pre-primary, female (%)",SE.PRE.NENR.FE,78.78384
Puerto Rico,PRI,2016,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,25.47862
Puerto Rico,PRI,2015,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,27.20562
Puerto Rico,PRI,2013,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,51.26508
Puerto Rico,PRI,2012,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,69.23202
Puerto Rico,PRI,2011,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,82.69098
Puerto Rico,PRI,2010,"Net enrolment rate, pre-primary, male (%)",SE.PRE.NENR.MA,76.54903
Puerto Rico,PRI,2016,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,24.67005
Puerto Rico,PRI,2015,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,21.94772
Puerto Rico,PRI,2013,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,13.95027
Puerto Rico,PRI,2012,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,23.89294
Puerto Rico,PRI,2011,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,22.87626
Puerto Rico,PRI,2010,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,26.83531
Puerto Rico,PRI,1976,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,45.09516
Puerto Rico,PRI,1975,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,44.88209
Puerto Rico,PRI,1974,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,45.13654
Puerto Rico,PRI,1973,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,44.99865
Puerto Rico,PRI,2016,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,1970
Puerto Rico,PRI,2015,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,2113
