Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Qatar,QAT,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.27
Qatar,QAT,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.93
Qatar,QAT,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.39
Qatar,QAT,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.89
Qatar,QAT,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,15.27
Qatar,QAT,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.6
Qatar,QAT,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,22.74
Qatar,QAT,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,27.49
Qatar,QAT,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,31.91
Qatar,QAT,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.16
Qatar,QAT,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.81
Qatar,QAT,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,9.57
Qatar,QAT,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,14.52
Qatar,QAT,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,18.46
Qatar,QAT,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,21.5
Qatar,QAT,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,24.95
Qatar,QAT,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,28.26
