Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Rwanda,RWA,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,22.37
Rwanda,RWA,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,37.52
Rwanda,RWA,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,39.28
Rwanda,RWA,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,42.78
Rwanda,RWA,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,47.78
Rwanda,RWA,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,53.96
Rwanda,RWA,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,55.6
Rwanda,RWA,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,58.47
Rwanda,RWA,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,74.12
Rwanda,RWA,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,23.19
Rwanda,RWA,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,38.39
Rwanda,RWA,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,42.33
Rwanda,RWA,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,45.33
Rwanda,RWA,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,47.83
Rwanda,RWA,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,51.2
Rwanda,RWA,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,50.4
Rwanda,RWA,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,49.26
Rwanda,RWA,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,59.53
Rwanda,RWA,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,47.53
Rwanda,RWA,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,53.24
Rwanda,RWA,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,57.67
Rwanda,RWA,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,62.83
Rwanda,RWA,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,67.8
