Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Samoa,WSM,2017,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,4836
Samoa,WSM,2016,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,4037
Samoa,WSM,2015,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,4131
Samoa,WSM,2014,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3787
Samoa,WSM,2012,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3498
Samoa,WSM,2011,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3924
Samoa,WSM,2010,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3514
Samoa,WSM,2009,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,4080
Samoa,WSM,2008,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,4101
Samoa,WSM,2007,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,4578
Samoa,WSM,2001,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,5348
Samoa,WSM,2000,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,5392
Samoa,WSM,1999,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,5108
Samoa,WSM,1998,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,5417
Samoa,WSM,1996,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3143
Samoa,WSM,1995,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,2347
Samoa,WSM,1992,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1188
Samoa,WSM,1976,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,2113
Samoa,WSM,1975,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1926
Samoa,WSM,1974,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1830
Samoa,WSM,1973,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1493
Samoa,WSM,1970,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,80
Samoa,WSM,2017,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,2471
Samoa,WSM,2016,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,2023
Samoa,WSM,2015,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,2048
Samoa,WSM,2014,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,1916
Samoa,WSM,2012,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,1766
Samoa,WSM,2011,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,2001
Samoa,WSM,2010,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,1840
Samoa,WSM,2009,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,2087
Samoa,WSM,2008,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,2069
Samoa,WSM,2007,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,2408
Samoa,WSM,2001,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,2887
Samoa,WSM,2000,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,2897
Samoa,WSM,1998,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,2823
Samoa,WSM,1976,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,1085
Samoa,WSM,1975,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,982
Samoa,WSM,1974,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,925
Samoa,WSM,1973,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,767
Samoa,WSM,1970,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,39
Samoa,WSM,2017,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,51.09595
Samoa,WSM,2016,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,50.11147
Samoa,WSM,2015,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.57637
Samoa,WSM,2014,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,50.59414
Samoa,WSM,2012,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,50.48599
Samoa,WSM,2011,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,50.99388
Samoa,WSM,2010,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,52.36198
Samoa,WSM,2009,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,51.15196
Samoa,WSM,2008,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,50.45111
Samoa,WSM,2007,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,52.59939
Samoa,WSM,2001,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,53.9828
Samoa,WSM,2000,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,53.72774
Samoa,WSM,1998,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,52.11372
Samoa,WSM,1976,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,51.34879
Samoa,WSM,1975,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,50.9865
Samoa,WSM,1974,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,50.54645
