Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
San Marino,SMR,2012,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1102
San Marino,SMR,2011,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1056
San Marino,SMR,2010,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1033
San Marino,SMR,2009,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1048
San Marino,SMR,2008,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1028
San Marino,SMR,2004,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1075
San Marino,SMR,2000,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,962
San Marino,SMR,1997,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,854
San Marino,SMR,1996,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,867
San Marino,SMR,1994,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,811
San Marino,SMR,1993,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,785
San Marino,SMR,1992,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,750
San Marino,SMR,1991,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,759
San Marino,SMR,1990,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,773
San Marino,SMR,1989,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,793
San Marino,SMR,1988,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,823
San Marino,SMR,1987,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,816
San Marino,SMR,1986,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,814
San Marino,SMR,1985,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,839
San Marino,SMR,1984,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,848
San Marino,SMR,1983,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,866
San Marino,SMR,1982,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,864
San Marino,SMR,1981,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,877
San Marino,SMR,1980,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,763
San Marino,SMR,1979,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,732
San Marino,SMR,1978,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,760
San Marino,SMR,1977,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,731
San Marino,SMR,1976,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,735
San Marino,SMR,1975,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,704
San Marino,SMR,1974,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,730
San Marino,SMR,1973,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,742
San Marino,SMR,1972,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,718
San Marino,SMR,1971,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,684
San Marino,SMR,2012,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,551
San Marino,SMR,2011,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,505
San Marino,SMR,2010,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,473
San Marino,SMR,2009,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,470
San Marino,SMR,2008,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,472
San Marino,SMR,2000,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,455
San Marino,SMR,1997,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,409
San Marino,SMR,1996,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,406
San Marino,SMR,1994,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,377
San Marino,SMR,1993,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,363
San Marino,SMR,1992,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,346
San Marino,SMR,1991,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,373
San Marino,SMR,1990,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,384
San Marino,SMR,1989,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,390
San Marino,SMR,1988,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,385
San Marino,SMR,1987,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,384
San Marino,SMR,1986,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,388
San Marino,SMR,1985,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,404
San Marino,SMR,1984,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,423
San Marino,SMR,1983,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,433
San Marino,SMR,1982,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,420
San Marino,SMR,1981,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,430
San Marino,SMR,1980,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,378
San Marino,SMR,1979,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,356
San Marino,SMR,1978,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,387
San Marino,SMR,1977,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,363
San Marino,SMR,1976,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,356
San Marino,SMR,1975,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,320
San Marino,SMR,1974,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,333
San Marino,SMR,1973,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,361
San Marino,SMR,1972,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,350
San Marino,SMR,1971,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,313
San Marino,SMR,2012,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,50
San Marino,SMR,2011,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,47.82197
San Marino,SMR,2010,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,45.78896
San Marino,SMR,2009,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,44.84733
San Marino,SMR,2008,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,45.9144
San Marino,SMR,2000,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,47.2973
San Marino,SMR,1997,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,47.89227
San Marino,SMR,1996,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,46.82814
San Marino,SMR,1994,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,46.48582
San Marino,SMR,1993,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,46.24204
San Marino,SMR,1992,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,46.13333
San Marino,SMR,1991,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.14361
San Marino,SMR,1990,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.67658
San Marino,SMR,1989,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.18033
San Marino,SMR,1988,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,46.78007
San Marino,SMR,1987,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,47.05882
San Marino,SMR,1986,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,47.66585
San Marino,SMR,1985,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.15256
San Marino,SMR,1984,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.88208
San Marino,SMR,1983,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,50
San Marino,SMR,1982,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.61111
San Marino,SMR,1981,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.03079
San Marino,SMR,1980,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.54128
San Marino,SMR,1979,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.63388
San Marino,SMR,1978,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,50.92105
San Marino,SMR,1977,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,49.658
San Marino,SMR,1976,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.43537
San Marino,SMR,1975,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,45.45455
San Marino,SMR,1974,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,45.61644
