Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Sao Tome and Principe,STP,2008,DHS: Gross attendance rate. Post Secondary,HH.DHS.GAR.456,0.29615864424671
Sao Tome and Principe,STP,2008,DHS: Gross attendance rate. Post Secondary. Female,HH.DHS.GAR.456.F,0.114621917411957
Sao Tome and Principe,STP,2008,DHS: Gross attendance rate. Post Secondary. Male,HH.DHS.GAR.456.M,0.48994883031327
Sao Tome and Principe,STP,2008,DHS: Gross attendance rate. Post Secondary. Quintile 1,HH.DHS.GAR.456.Q1,0
Sao Tome and Principe,STP,2008,DHS: Gross attendance rate. Post Secondary. Quintile 2,HH.DHS.GAR.456.Q2,0
Sao Tome and Principe,STP,2008,DHS: Gross attendance rate. Post Secondary. Quintile 3,HH.DHS.GAR.456.Q3,0
Sao Tome and Principe,STP,2008,DHS: Gross attendance rate. Post Secondary. Quintile 4,HH.DHS.GAR.456.Q4,0.488302480211183
Sao Tome and Principe,STP,2008,DHS: Gross attendance rate. Post Secondary. Quintile 5,HH.DHS.GAR.456.Q5,0.845574413901285
Sao Tome and Principe,STP,2008,DHS: Gross attendance rate. Post Secondary. Rural,HH.DHS.GAR.456.R,0.272539523355903
Sao Tome and Principe,STP,2008,DHS: Gross attendance rate. Post Secondary. Urban,HH.DHS.GAR.456.U,0.318441966501432
Sao Tome and Principe,STP,2008,DHS: Net attendance rate. Primary,HH.DHS.NAR.1,85.3765275036497
Sao Tome and Principe,STP,2008,DHS: Net attendance rate. Primary. Female,HH.DHS.NAR.1.F,84.9986943214226
Sao Tome and Principe,STP,2008,DHS: Net attendance rate. Primary. Male,HH.DHS.NAR.1.M,85.7409775036029
Sao Tome and Principe,STP,2008,DHS: Net attendance rate. Primary. Quintile 1,HH.DHS.NAR.1.Q1,75.4155978296885
Sao Tome and Principe,STP,2008,DHS: Net attendance rate. Primary. Quintile 2,HH.DHS.NAR.1.Q2,85.0006802687007
Sao Tome and Principe,STP,2008,DHS: Net attendance rate. Primary. Quintile 3,HH.DHS.NAR.1.Q3,86.3175067135698
Sao Tome and Principe,STP,2008,DHS: Net attendance rate. Primary. Quintile 4,HH.DHS.NAR.1.Q4,89.0207427929337
Sao Tome and Principe,STP,2008,DHS: Net attendance rate. Primary. Quintile 5,HH.DHS.NAR.1.Q5,93.115537324603
Sao Tome and Principe,STP,2008,DHS: Net attendance rate. Primary. Rural,HH.DHS.NAR.1.R,85.1196306613753
Sao Tome and Principe,STP,2008,DHS: Net attendance rate. Primary. Urban,HH.DHS.NAR.1.U,85.6310994828568
Sao Tome and Principe,STP,2008,DHS: Net attendance rate. Secondary,HH.DHS.NAR.23,30.4893281601981
Sao Tome and Principe,STP,2008,DHS: Net attendance rate. Secondary. Female,HH.DHS.NAR.23.F,31.0683858341386
Sao Tome and Principe,STP,2008,DHS: Net attendance rate. Secondary. Male,HH.DHS.NAR.23.M,29.9620439833354
Sao Tome and Principe,STP,2008,DHS: Net attendance rate. Secondary. Quintile 1,HH.DHS.NAR.23.Q1,11.6559056208345
Sao Tome and Principe,STP,2008,DHS: Net attendance rate. Secondary. Quintile 2,HH.DHS.NAR.23.Q2,15.0746583570678
Sao Tome and Principe,STP,2008,DHS: Net attendance rate. Secondary. Quintile 3,HH.DHS.NAR.23.Q3,27.1094810311753
Sao Tome and Principe,STP,2008,DHS: Net attendance rate. Secondary. Quintile 4,HH.DHS.NAR.23.Q4,35.2847984070933
Sao Tome and Principe,STP,2008,DHS: Net attendance rate. Secondary. Quintile 5,HH.DHS.NAR.23.Q5,56.8156674394415
Sao Tome and Principe,STP,2008,DHS: Net attendance rate. Secondary. Rural,HH.DHS.NAR.23.R,22.9626993431223
Sao Tome and Principe,STP,2008,DHS: Net attendance rate. Secondary. Urban,HH.DHS.NAR.23.U,37.2365331074377
Sao Tome and Principe,STP,2008,DHS: Net intake rate for the first grade of primary education,HH.DHS.NIR.1,27.8168876317566
Sao Tome and Principe,STP,2008,DHS: Net intake rate for the first grade of primary education. Female,HH.DHS.NIR.1.F,28.004939072938
Sao Tome and Principe,STP,2008,DHS: Net intake rate for the first grade of primary education. Male,HH.DHS.NIR.1.M,27.6284077292684
Sao Tome and Principe,STP,2008,DHS: Net intake rate for the first grade of primary education. Quintile 1,HH.DHS.NIR.1.Q1,22.835472321918
Sao Tome and Principe,STP,2008,DHS: Net intake rate for the first grade of primary education. Quintile 2,HH.DHS.NIR.1.Q2,26.0587401709648
Sao Tome and Principe,STP,2008,DHS: Net intake rate for the first grade of primary education. Quintile 3,HH.DHS.NIR.1.Q3,22.0515425443922
Sao Tome and Principe,STP,2008,DHS: Net intake rate for the first grade of primary education. Quintile 4,HH.DHS.NIR.1.Q4,32.0962816870262
Sao Tome and Principe,STP,2008,DHS: Net intake rate for the first grade of primary education. Quintile 5,HH.DHS.NIR.1.Q5,38.5089080364121
Sao Tome and Principe,STP,2008,DHS: Net intake rate for the first grade of primary education. Rural,HH.DHS.NIR.1.R,22.7934192476668
Sao Tome and Principe,STP,2008,DHS: Net intake rate for the first grade of primary education. Urban,HH.DHS.NIR.1.U,32.5416315869307
Sao Tome and Principe,STP,2008,DHS: Proportion of out-of-school. Primary,HH.DHS.OOS.1,14.179110780159
Sao Tome and Principe,STP,2008,DHS: Proportion of out-of-school. Primary. Female,HH.DHS.OOS.1.F,14.451431028515
Sao Tome and Principe,STP,2008,DHS: Proportion of out-of-school. Primary. Male,HH.DHS.OOS.1.M,13.9164363535362
Sao Tome and Principe,STP,2008,DHS: Proportion of out-of-school. Primary. Quintile 1,HH.DHS.OOS.1.Q1,24.5844021703115
Sao Tome and Principe,STP,2008,DHS: Proportion of out-of-school. Primary. Quintile 2,HH.DHS.OOS.1.Q2,14.9993197312993
Sao Tome and Principe,STP,2008,DHS: Proportion of out-of-school. Primary. Quintile 3,HH.DHS.OOS.1.Q3,13.6824932864302
Sao Tome and Principe,STP,2008,DHS: Proportion of out-of-school. Primary. Quintile 4,HH.DHS.OOS.1.Q4,10.3558690271292
Sao Tome and Principe,STP,2008,DHS: Proportion of out-of-school. Primary. Quintile 5,HH.DHS.OOS.1.Q5,5.04399103089314
Sao Tome and Principe,STP,2008,DHS: Proportion of out-of-school. Primary. Rural,HH.DHS.OOS.1.R,14.8803693386247
Sao Tome and Principe,STP,2008,DHS: Proportion of out-of-school. Primary. Urban,HH.DHS.OOS.1.U,13.484198466002
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Dropped out,HH.DHS.OOST.DO,2.81045038104801
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Dropped out. Female,HH.DHS.OOST.DO.F,4.56861754339036
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Dropped out. Male,HH.DHS.OOST.DO.M,3.75411671275107
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 1,HH.DHS.OOST.DO.Q1,2.91188642309903
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 2,HH.DHS.OOST.DO.Q2,7.35260228661087
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 3,HH.DHS.OOST.DO.Q3,3.88067736801072
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 4,HH.DHS.OOST.DO.Q4,0
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 5,HH.DHS.OOST.DO.Q5,5.66511642946058
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Dropped out. Rural,HH.DHS.OOST.DO.R,1.47607890678503
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Dropped out. Urban,HH.DHS.OOST.DO.U,4.27368562219028
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Late entry,HH.DHS.OOST.L,81.5963685690734
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Late entry. Female,HH.DHS.OOST.L.F,83.7565963174879
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Late entry. Male,HH.DHS.OOST.L.M,85.3636953566376
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Late entry. Quintile 1,HH.DHS.OOST.L.Q1,76.1707393713389
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Late entry. Quintile 2,HH.DHS.OOST.L.Q2,89.5384796602067
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Late entry. Quintile 3,HH.DHS.OOST.L.Q3,81.4621697251667
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Late entry. Quintile 4,HH.DHS.OOST.L.Q4,100
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Late entry. Quintile 5,HH.DHS.OOST.L.Q5,77.0596291423523
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Late entry. Rural,HH.DHS.OOST.L.R,84.8523917194016
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Late entry. Urban,HH.DHS.OOST.L.U,78.158261186163
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Never in school,HH.DHS.OOST.X,15.5931810498785
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Never in school. Female,HH.DHS.OOST.X.F,11.6747861391218
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Never in school. Male,HH.DHS.OOST.X.M,10.8821879306113
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Never in school. Quintile 1,HH.DHS.OOST.X.Q1,20.917374205562
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Never in school. Quintile 2,HH.DHS.OOST.X.Q2,3.10891805318238
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Never in school. Quintile 3,HH.DHS.OOST.X.Q3,14.6571529068226
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Never in school. Quintile 4,HH.DHS.OOST.X.Q4,0
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Never in school. Quintile 5,HH.DHS.OOST.X.Q5,17.2752544281871
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Never in school. Rural,HH.DHS.OOST.X.R,13.6715293738133
Sao Tome and Principe,STP,2008,DHS: Typology of out-of-school children. Primary. Never in school. Urban,HH.DHS.OOST.X.U,17.5680531916467
Sao Tome and Principe,STP,2008,DHS: Primary completion rate,HH.DHS.PCR,119.799296911991
Sao Tome and Principe,STP,2008,DHS: Primary completion rate. Female,HH.DHS.PCR.F,130.731287630683
Sao Tome and Principe,STP,2008,DHS: Primary completion rate. Male,HH.DHS.PCR.M,110.782636059408
Sao Tome and Principe,STP,2008,DHS: Primary completion rate. Quintile 1,HH.DHS.PCR.Q1,89.9164964173079
Sao Tome and Principe,STP,2008,DHS: Primary completion rate. Quintile 2,HH.DHS.PCR.Q2,93.1777575741892
Sao Tome and Principe,STP,2008,DHS: Primary completion rate. Quintile 3,HH.DHS.PCR.Q3,146.806818733951
Sao Tome and Principe,STP,2008,DHS: Primary completion rate. Quintile 4,HH.DHS.PCR.Q4,136.389721649781
Sao Tome and Principe,STP,2008,DHS: Primary completion rate. Quintile 5,HH.DHS.PCR.Q5,125.437920959176
Sao Tome and Principe,STP,2008,DHS: Primary completion rate. Rural,HH.DHS.PCR.R,109.050406210695
Sao Tome and Principe,STP,2008,DHS: Primary completion rate. Urban,HH.DHS.PCR.U,129.638258874023
Sao Tome and Principe,STP,2008,DHS: Secondary completion rate,HH.DHS.SCR,24.7822265352068
Sao Tome and Principe,STP,2008,DHS: Secondary completion rate. Female,HH.DHS.SCR.F,21.5972626551991
Sao Tome and Principe,STP,2008,DHS: Secondary completion rate. Male,HH.DHS.SCR.M,27.8540233441282
Sao Tome and Principe,STP,2008,DHS: Secondary completion rate. Quintile 1,HH.DHS.SCR.Q1,0
Sao Tome and Principe,STP,2008,DHS: Secondary completion rate. Quintile 2,HH.DHS.SCR.Q2,9.76630942841851
