Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Saudi Arabia,SAU,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Saudi Arabia,SAU,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.25
Saudi Arabia,SAU,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,15
Saudi Arabia,SAU,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,25.07
Saudi Arabia,SAU,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.76
Saudi Arabia,SAU,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,41.79
Saudi Arabia,SAU,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,42.55
Saudi Arabia,SAU,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,40.25
Saudi Arabia,SAU,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,37.86
Saudi Arabia,SAU,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.1
Saudi Arabia,SAU,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.97
Saudi Arabia,SAU,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,10.71
Saudi Arabia,SAU,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,17.63
Saudi Arabia,SAU,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.4
Saudi Arabia,SAU,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,23.1
Saudi Arabia,SAU,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,43.92
Saudi Arabia,SAU,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,45.64
Saudi Arabia,SAU,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,43.5
Saudi Arabia,SAU,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,17.98
Saudi Arabia,SAU,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,23.66
Saudi Arabia,SAU,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,31.02
Saudi Arabia,SAU,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,38.96
Saudi Arabia,SAU,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,42.26
Saudi Arabia,SAU,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,55.06
Saudi Arabia,SAU,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,63.98
Saudi Arabia,SAU,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,67.46
