Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Senegal,SEN,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,38.1
Senegal,SEN,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,66.18
Senegal,SEN,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,60.76
Senegal,SEN,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,59.32
Senegal,SEN,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,58.89
Senegal,SEN,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,60.04
Senegal,SEN,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,58.66
Senegal,SEN,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,56.6
Senegal,SEN,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,63.28
Senegal,SEN,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,35.18
Senegal,SEN,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,62.99
Senegal,SEN,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,55.48
Senegal,SEN,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,50.59
Senegal,SEN,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,48.46
Senegal,SEN,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,48.69
Senegal,SEN,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,45.61
Senegal,SEN,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,42.1
Senegal,SEN,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,48.9
Senegal,SEN,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,64.8
Senegal,SEN,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,76.87
Senegal,SEN,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,73.03
Senegal,SEN,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,70.16
Senegal,SEN,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,68.49
Senegal,SEN,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,66.65
Senegal,SEN,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,65.98
Senegal,SEN,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,66
Senegal,SEN,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,68.49
Senegal,SEN,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,58.58
Senegal,SEN,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,72.05
Senegal,SEN,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,65.57
Senegal,SEN,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,60.46
