Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Serbia,SRB,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.59
Serbia,SRB,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.72
Serbia,SRB,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.64
Serbia,SRB,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.11
Serbia,SRB,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.17
Serbia,SRB,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.36
Serbia,SRB,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.6
Serbia,SRB,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.19
Serbia,SRB,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.6
Serbia,SRB,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.56
Serbia,SRB,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.24
Serbia,SRB,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.03
Serbia,SRB,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.32
Serbia,SRB,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,14.52
Serbia,SRB,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,10.89
Serbia,SRB,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,9.2
Serbia,SRB,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.87
Serbia,SRB,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.6
Serbia,SRB,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.78
Serbia,SRB,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.3
Serbia,SRB,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,7.33
Serbia,SRB,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,9.93
Serbia,SRB,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,14.34
Serbia,SRB,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,16.8
Serbia,SRB,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,20
Serbia,SRB,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,23.37
Serbia,SRB,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,26.99
Serbia,SRB,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,2.96
Serbia,SRB,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,3.5
Serbia,SRB,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.84
Serbia,SRB,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.33
Serbia,SRB,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,9.87
Serbia,SRB,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,11.45
Serbia,SRB,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,14.01
Serbia,SRB,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,16.45
Serbia,SRB,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,18.94
