Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Seychelles,SYC,2007,SACMEQ: Mean performance on the mathematics scale,LO.SACMEQ.MAT,550.7
Seychelles,SYC,2000,SACMEQ: Mean performance on the mathematics scale,LO.SACMEQ.MAT,554.3
Seychelles,SYC,2007,"SACMEQ: Mean performance on the mathematics scale, female",LO.SACMEQ.MAT.FE,566.7
Seychelles,SYC,2000,"SACMEQ: Mean performance on the mathematics scale, female",LO.SACMEQ.MAT.FE,573.1
Seychelles,SYC,2007,"SACMEQ: Mean performance on the mathematics scale, male",LO.SACMEQ.MAT.MA,535.2
Seychelles,SYC,2000,"SACMEQ: Mean performance on the mathematics scale, male",LO.SACMEQ.MAT.MA,535.5
Seychelles,SYC,2007,"SACMEQ: Mean performance on the reading scale, total",LO.SACMEQ.REA,575.1
Seychelles,SYC,2000,"SACMEQ: Mean performance on the reading scale, total",LO.SACMEQ.REA,582
Seychelles,SYC,2007,"SACMEQ: Mean performance on the reading scale, female",LO.SACMEQ.REA.FE,607.2
Seychelles,SYC,2000,"SACMEQ: Mean performance on the reading scale, female",LO.SACMEQ.REA.FE,614.2
Seychelles,SYC,2007,"SACMEQ: Mean performance on the reading scale, male",LO.SACMEQ.REA.MA,544.4
Seychelles,SYC,2000,"SACMEQ: Mean performance on the reading scale, male",LO.SACMEQ.REA.MA,549.7
Seychelles,SYC,2017,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3091
Seychelles,SYC,2016,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3102
Seychelles,SYC,2015,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,2986
Seychelles,SYC,2014,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3030
Seychelles,SYC,2013,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,2940
Seychelles,SYC,2012,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3001
Seychelles,SYC,2011,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,2916
Seychelles,SYC,2010,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,2935
Seychelles,SYC,2009,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,2928
Seychelles,SYC,2008,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,2923
Seychelles,SYC,2007,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,2835
Seychelles,SYC,2006,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,2823
Seychelles,SYC,2005,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,2826
Seychelles,SYC,2004,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,2838
Seychelles,SYC,2003,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,2663
Seychelles,SYC,2002,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,2805
Seychelles,SYC,2001,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,2775
Seychelles,SYC,2000,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3065
Seychelles,SYC,1999,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3212
Seychelles,SYC,1998,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3304
Seychelles,SYC,1997,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3242
