Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Sierra Leone,SLE,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,37.88
Sierra Leone,SLE,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,69.14
Sierra Leone,SLE,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,69.14
Sierra Leone,SLE,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,65.74
Sierra Leone,SLE,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,64.21
Sierra Leone,SLE,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,75.6
Sierra Leone,SLE,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,79.85
Sierra Leone,SLE,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,83.59
Sierra Leone,SLE,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,88.52
Sierra Leone,SLE,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,33.55
Sierra Leone,SLE,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,61.13
Sierra Leone,SLE,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,61.13
Sierra Leone,SLE,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,52.29
Sierra Leone,SLE,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,60.96
Sierra Leone,SLE,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,67.76
Sierra Leone,SLE,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,72.18
Sierra Leone,SLE,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,76.43
Sierra Leone,SLE,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,81.36
Sierra Leone,SLE,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,64.97
Sierra Leone,SLE,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,73.84
Sierra Leone,SLE,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,76.06
Sierra Leone,SLE,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,78.61
Sierra Leone,SLE,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,82.2
Sierra Leone,SLE,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,86.57
Sierra Leone,SLE,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,89.54
Sierra Leone,SLE,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,92.08
Sierra Leone,SLE,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,94.24
Sierra Leone,SLE,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,57
Sierra Leone,SLE,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,65.3
Sierra Leone,SLE,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,67.82
Sierra Leone,SLE,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,70.74
Sierra Leone,SLE,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,75.89
Sierra Leone,SLE,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,80.13
Sierra Leone,SLE,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,83.85
