Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Singapore,SGP,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.02
Singapore,SGP,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.4
Singapore,SGP,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.53
Singapore,SGP,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.66
Singapore,SGP,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.01
Singapore,SGP,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.43
Singapore,SGP,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.12
Singapore,SGP,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.75
Singapore,SGP,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,9.3
Singapore,SGP,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.76
Singapore,SGP,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.5
Singapore,SGP,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.48
Singapore,SGP,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.8
Singapore,SGP,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.06
Singapore,SGP,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.46
Singapore,SGP,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.57
Singapore,SGP,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.53
Singapore,SGP,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.7
Singapore,SGP,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,18.57
Singapore,SGP,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,13.07
Singapore,SGP,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,23.95
Singapore,SGP,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,18.66
Singapore,SGP,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,15.35
Singapore,SGP,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,26.16
Singapore,SGP,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,37.37
Singapore,SGP,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,42.3
Singapore,SGP,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,47.47
Singapore,SGP,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,15.27
Singapore,SGP,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,8.55
Singapore,SGP,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,19.56
Singapore,SGP,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,14.21
