Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Sri Lanka,LKA,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.89
Sri Lanka,LKA,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.05
Sri Lanka,LKA,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3
Sri Lanka,LKA,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.05
Sri Lanka,LKA,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.65
Sri Lanka,LKA,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.19
Sri Lanka,LKA,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.8
Sri Lanka,LKA,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10.15
Sri Lanka,LKA,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.4
Sri Lanka,LKA,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.8
Sri Lanka,LKA,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.12
Sri Lanka,LKA,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.2
Sri Lanka,LKA,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.18
Sri Lanka,LKA,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.33
Sri Lanka,LKA,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,17.85
Sri Lanka,LKA,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8
Sri Lanka,LKA,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,10.19
Sri Lanka,LKA,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.8
Sri Lanka,LKA,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,6.06
Sri Lanka,LKA,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.05
Sri Lanka,LKA,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.4
Sri Lanka,LKA,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,11.58
Sri Lanka,LKA,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,13.12
Sri Lanka,LKA,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,17.29
Sri Lanka,LKA,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,18.61
Sri Lanka,LKA,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,22.3
Sri Lanka,LKA,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,26.64
Sri Lanka,LKA,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.43
Sri Lanka,LKA,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.37
Sri Lanka,LKA,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,8.7
Sri Lanka,LKA,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,9.29
Sri Lanka,LKA,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,10.16
Sri Lanka,LKA,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,13.32
Sri Lanka,LKA,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,13.45
Sri Lanka,LKA,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,15.8
Sri Lanka,LKA,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,17.94
Sri Lanka,LKA,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.89
Sri Lanka,LKA,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.69
Sri Lanka,LKA,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,4.5
Sri Lanka,LKA,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,5.3
Sri Lanka,LKA,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,7.09
Sri Lanka,LKA,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,3.48
Sri Lanka,LKA,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,9.1
Sri Lanka,LKA,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,10.7
Sri Lanka,LKA,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,11.4
Sri Lanka,LKA,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.8
Sri Lanka,LKA,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.46
Sri Lanka,LKA,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,4.8
Sri Lanka,LKA,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,5.59
Sri Lanka,LKA,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,7.63
Sri Lanka,LKA,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.24
Sri Lanka,LKA,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,7.6
Sri Lanka,LKA,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,8.1
Sri Lanka,LKA,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,8.2
