Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
St. Lucia,LCA,2017,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3458
St. Lucia,LCA,2016,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3421
St. Lucia,LCA,2015,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3183
St. Lucia,LCA,2014,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3621
St. Lucia,LCA,2013,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3382
St. Lucia,LCA,2012,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3483
St. Lucia,LCA,2011,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3423
St. Lucia,LCA,2010,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3421
St. Lucia,LCA,2009,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3807
St. Lucia,LCA,2008,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3882
St. Lucia,LCA,2007,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3824
St. Lucia,LCA,2006,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3813
St. Lucia,LCA,2005,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,4118
St. Lucia,LCA,2004,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3957
St. Lucia,LCA,2003,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3939
St. Lucia,LCA,2002,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,4201
St. Lucia,LCA,2001,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,4275
St. Lucia,LCA,2000,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,4288
St. Lucia,LCA,1999,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,5582
St. Lucia,LCA,1998,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,5539
St. Lucia,LCA,1997,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,5396
St. Lucia,LCA,1996,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,5759
St. Lucia,LCA,1995,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,4826
St. Lucia,LCA,1994,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,4956
St. Lucia,LCA,1993,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,4566
St. Lucia,LCA,1992,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,5300
St. Lucia,LCA,1991,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,5366
St. Lucia,LCA,1990,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,4500
St. Lucia,LCA,1989,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,4235
St. Lucia,LCA,1987,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,4175
St. Lucia,LCA,1986,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,3711
St. Lucia,LCA,2017,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,1768
St. Lucia,LCA,2016,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,1706
St. Lucia,LCA,2015,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,1620
St. Lucia,LCA,2014,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,1848
St. Lucia,LCA,2013,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,1723
St. Lucia,LCA,2012,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,1741
St. Lucia,LCA,2011,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,1667
St. Lucia,LCA,2010,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,1650
St. Lucia,LCA,2009,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,1903
St. Lucia,LCA,2008,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,1938
