Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Sudan,SDN,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,51.54
Sudan,SDN,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,53.07
Sudan,SDN,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,51.43
Sudan,SDN,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,54.43
Sudan,SDN,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,54.43
Sudan,SDN,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,58.1
Sudan,SDN,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,67.27
Sudan,SDN,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,73.72
Sudan,SDN,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,79.8
Sudan,SDN,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,49.45
Sudan,SDN,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,50.63
Sudan,SDN,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,47.36
Sudan,SDN,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,48.36
Sudan,SDN,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,48.36
Sudan,SDN,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,50.1
Sudan,SDN,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,58.7
Sudan,SDN,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,68.41
Sudan,SDN,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,72.58
