Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Suriname,SUR,2010,MICS: Gross attendance rate. Post Secondary,HH.MICS.GAR.456,9.84401629734725
Suriname,SUR,2010,MICS: Gross attendance rate. Post Secondary. Female,HH.MICS.GAR.456.F,12.7482351608878
Suriname,SUR,2010,MICS: Gross attendance rate. Post Secondary. Male,HH.MICS.GAR.456.M,6.58602374065654
Suriname,SUR,2010,MICS: Gross attendance rate. Post Secondary. Quintile 1,HH.MICS.GAR.456.Q1,0.463329626470439
Suriname,SUR,2010,MICS: Gross attendance rate. Post Secondary. Quintile 2,HH.MICS.GAR.456.Q2,3.81241027172349
Suriname,SUR,2010,MICS: Gross attendance rate. Post Secondary. Quintile 3,HH.MICS.GAR.456.Q3,5.4122827700448
Suriname,SUR,2010,MICS: Gross attendance rate. Post Secondary. Quintile 4,HH.MICS.GAR.456.Q4,13.3293027998556
Suriname,SUR,2010,MICS: Gross attendance rate. Post Secondary. Quintile 5,HH.MICS.GAR.456.Q5,23.6807001724585
Suriname,SUR,2010,MICS: Gross attendance rate. Post Secondary. Rural,HH.MICS.GAR.456.R,2.70904661181181
Suriname,SUR,2010,MICS: Gross attendance rate. Post Secondary. Urban,HH.MICS.GAR.456.U,12.1173944386093
Suriname,SUR,2010,MICS: Net attendance rate. Primary,HH.MICS.NAR.1,92.9572554254685
Suriname,SUR,2010,MICS: Net attendance rate. Primary. Female,HH.MICS.NAR.1.F,93.2578398202085
Suriname,SUR,2010,MICS: Net attendance rate. Primary. Male,HH.MICS.NAR.1.M,92.6873109938898
Suriname,SUR,2010,MICS: Net attendance rate. Primary. Quintile 1,HH.MICS.NAR.1.Q1,90.993870578592
Suriname,SUR,2010,MICS: Net attendance rate. Primary. Quintile 2,HH.MICS.NAR.1.Q2,93.0679864681271
Suriname,SUR,2010,MICS: Net attendance rate. Primary. Quintile 3,HH.MICS.NAR.1.Q3,95.7234852834737
Suriname,SUR,2010,MICS: Net attendance rate. Primary. Quintile 4,HH.MICS.NAR.1.Q4,94.0868516192573
Suriname,SUR,2010,MICS: Net attendance rate. Primary. Quintile 5,HH.MICS.NAR.1.Q5,92.0054101292032
Suriname,SUR,2010,MICS: Net attendance rate. Primary. Rural,HH.MICS.NAR.1.R,90.7509982431805
Suriname,SUR,2010,MICS: Net attendance rate. Primary. Urban,HH.MICS.NAR.1.U,94.194655428916
Suriname,SUR,2010,MICS: Net attendance rate. Secondary,HH.MICS.NAR.23,66.270962295111
Suriname,SUR,2010,MICS: Net attendance rate. Secondary. Female,HH.MICS.NAR.23.F,72.7486448552451
Suriname,SUR,2010,MICS: Net attendance rate. Secondary. Male,HH.MICS.NAR.23.M,59.4906915875689
Suriname,SUR,2010,MICS: Net attendance rate. Secondary. Quintile 1,HH.MICS.NAR.23.Q1,34.999690624099
Suriname,SUR,2010,MICS: Net attendance rate. Secondary. Quintile 2,HH.MICS.NAR.23.Q2,62.7954209543714
Suriname,SUR,2010,MICS: Net attendance rate. Secondary. Quintile 3,HH.MICS.NAR.23.Q3,69.905201105208
Suriname,SUR,2010,MICS: Net attendance rate. Secondary. Quintile 4,HH.MICS.NAR.23.Q4,76.7190422118686
Suriname,SUR,2010,MICS: Net attendance rate. Secondary. Quintile 5,HH.MICS.NAR.23.Q5,84.6141187446702
Suriname,SUR,2010,MICS: Net attendance rate. Secondary. Rural,HH.MICS.NAR.23.R,47.901129558406
Suriname,SUR,2010,MICS: Net attendance rate. Secondary. Urban,HH.MICS.NAR.23.U,73.7966359224431
Suriname,SUR,2010,MICS: Proportion of out-of-school. Primary,HH.MICS.OOS.1,5.74657777148281
Suriname,SUR,2010,MICS: Proportion of out-of-school. Primary. Female,HH.MICS.OOS.1.F,5.63242745295498
Suriname,SUR,2010,MICS: Proportion of out-of-school. Primary. Male,HH.MICS.OOS.1.M,5.84909221797126
Suriname,SUR,2010,MICS: Proportion of out-of-school. Primary. Quintile 1,HH.MICS.OOS.1.Q1,8.33568681465294
Suriname,SUR,2010,MICS: Proportion of out-of-school. Primary. Quintile 2,HH.MICS.OOS.1.Q2,6.05543462316386
Suriname,SUR,2010,MICS: Proportion of out-of-school. Primary. Quintile 3,HH.MICS.OOS.1.Q3,2.89503453362972
