Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Tajikistan,TJK,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Tajikistan,TJK,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Tajikistan,TJK,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.14
Tajikistan,TJK,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.56
Tajikistan,TJK,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.8
Tajikistan,TJK,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.77
Tajikistan,TJK,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.72
Tajikistan,TJK,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.66
Tajikistan,TJK,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.58
Tajikistan,TJK,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.1
Tajikistan,TJK,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.1
Tajikistan,TJK,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.14
Tajikistan,TJK,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.99
Tajikistan,TJK,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.73
Tajikistan,TJK,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.59
Tajikistan,TJK,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.4
Tajikistan,TJK,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.16
Tajikistan,TJK,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.87
