Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Tanzania,TZA,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Tanzania,TZA,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.18
Tanzania,TZA,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,23.96
Tanzania,TZA,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,29.77
Tanzania,TZA,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,23.41
Tanzania,TZA,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,28.9
Tanzania,TZA,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,51.03
Tanzania,TZA,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,59.1
Tanzania,TZA,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,64.04
Tanzania,TZA,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.09
Tanzania,TZA,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,15.1
Tanzania,TZA,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,21.7
Tanzania,TZA,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,28
Tanzania,TZA,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,26.4
Tanzania,TZA,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,26.47
Tanzania,TZA,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,32.47
Tanzania,TZA,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,46.37
Tanzania,TZA,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,49.87
Tanzania,TZA,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,23.35
Tanzania,TZA,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,31.53
Tanzania,TZA,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,37.39
Tanzania,TZA,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,43.04
Tanzania,TZA,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,47.15
Tanzania,TZA,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,54.6
Tanzania,TZA,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,63.85
Tanzania,TZA,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,71.32
Tanzania,TZA,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,75.3
Tanzania,TZA,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,17.69
Tanzania,TZA,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,24.61
Tanzania,TZA,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,30.26
Tanzania,TZA,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,33.8
