Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Togo,TGO,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.6
Togo,TGO,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,28.26
Togo,TGO,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,31.46
Togo,TGO,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,37.22
Togo,TGO,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,31.11
Togo,TGO,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,39.76
Togo,TGO,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,56.6
Togo,TGO,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,69.28
Togo,TGO,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,77.6
Togo,TGO,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,13.11
Togo,TGO,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,20.59
Togo,TGO,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,22.2
Togo,TGO,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,28.25
Togo,TGO,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,16.15
Togo,TGO,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,21.01
Togo,TGO,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,39.6
Togo,TGO,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,53.34
Togo,TGO,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,62.3
Togo,TGO,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,52.54
Togo,TGO,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,55.04
Togo,TGO,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,58.06
Togo,TGO,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,61.81
Togo,TGO,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,65.19
Togo,TGO,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,72.05
Togo,TGO,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,78.63
Togo,TGO,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,85.33
Togo,TGO,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,91.93
Togo,TGO,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,39.63
Togo,TGO,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,41.75
Togo,TGO,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,43.78
Togo,TGO,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,47.1
Togo,TGO,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,49.39
Togo,TGO,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,56.42
Togo,TGO,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,64.61
Togo,TGO,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,73.45
Togo,TGO,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,82.61
Togo,TGO,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,29.61
Togo,TGO,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,47.63
Togo,TGO,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,52.58
Togo,TGO,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,48.25
Togo,TGO,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,50.12
Togo,TGO,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,63.84
Togo,TGO,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,73.3
Togo,TGO,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,73.3
Togo,TGO,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,88
Togo,TGO,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,20.41
Togo,TGO,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,35.97
Togo,TGO,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,39.89
Togo,TGO,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,32.19
Togo,TGO,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,31.15
Togo,TGO,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,44.74
Togo,TGO,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,57.2
