Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Trinidad and Tobago,TTO,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.13
Trinidad and Tobago,TTO,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Trinidad and Tobago,TTO,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.67
Trinidad and Tobago,TTO,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.41
Trinidad and Tobago,TTO,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.63
Trinidad and Tobago,TTO,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.15
Trinidad and Tobago,TTO,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.4
Trinidad and Tobago,TTO,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Trinidad and Tobago,TTO,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1
Trinidad and Tobago,TTO,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.18
Trinidad and Tobago,TTO,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.68
Trinidad and Tobago,TTO,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.29
Trinidad and Tobago,TTO,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.2
Trinidad and Tobago,TTO,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.67
Trinidad and Tobago,TTO,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.95
Trinidad and Tobago,TTO,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.4
Trinidad and Tobago,TTO,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.09
Trinidad and Tobago,TTO,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.1
Trinidad and Tobago,TTO,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.53
Trinidad and Tobago,TTO,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.88
Trinidad and Tobago,TTO,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,2.87
Trinidad and Tobago,TTO,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.55
Trinidad and Tobago,TTO,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.6
Trinidad and Tobago,TTO,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.08
Trinidad and Tobago,TTO,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.01
Trinidad and Tobago,TTO,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.02
Trinidad and Tobago,TTO,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.52
Trinidad and Tobago,TTO,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,1.1
Trinidad and Tobago,TTO,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,1.57
Trinidad and Tobago,TTO,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,2.16
Trinidad and Tobago,TTO,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,2.72
Trinidad and Tobago,TTO,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,3.58
Trinidad and Tobago,TTO,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,2.5
Trinidad and Tobago,TTO,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.99
Trinidad and Tobago,TTO,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,3.9
Trinidad and Tobago,TTO,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,8.05
Trinidad and Tobago,TTO,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.34
Trinidad and Tobago,TTO,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.6
Trinidad and Tobago,TTO,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.55
