Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Tunisia,TUN,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.55
Tunisia,TUN,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10.11
Tunisia,TUN,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,12.64
Tunisia,TUN,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.85
Tunisia,TUN,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,25.22
Tunisia,TUN,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,36.3
Tunisia,TUN,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,32.3
Tunisia,TUN,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,41.3
Tunisia,TUN,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,56.59
Tunisia,TUN,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.03
Tunisia,TUN,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.81
Tunisia,TUN,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.47
Tunisia,TUN,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,9.54
Tunisia,TUN,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,17.04
Tunisia,TUN,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,24.7
Tunisia,TUN,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,20.7
Tunisia,TUN,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,27.9
Tunisia,TUN,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,43.21
Tunisia,TUN,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,28.91
Tunisia,TUN,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,34.78
Tunisia,TUN,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,41.28
Tunisia,TUN,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,48.32
Tunisia,TUN,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,56.59
Tunisia,TUN,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,64.37
Tunisia,TUN,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,67.46
Tunisia,TUN,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,75.51
Tunisia,TUN,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,84.44
Tunisia,TUN,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,20.87
Tunisia,TUN,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,25.33
Tunisia,TUN,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,30.96
Tunisia,TUN,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,37.81
Tunisia,TUN,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,44.76
Tunisia,TUN,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,51.64
Tunisia,TUN,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,53.81
Tunisia,TUN,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,64.84
Tunisia,TUN,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,74.8
Tunisia,TUN,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,5.12
Tunisia,TUN,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,8.75
Tunisia,TUN,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,13.42
Tunisia,TUN,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,24.17
Tunisia,TUN,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,35.49
Tunisia,TUN,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,39.5
