Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Turkey,TUR,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.53
Turkey,TUR,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.07
Turkey,TUR,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.26
Turkey,TUR,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.4
Turkey,TUR,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,16.21
Turkey,TUR,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,16.82
Turkey,TUR,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,24.5
Turkey,TUR,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,34.6
Turkey,TUR,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,65.97
Turkey,TUR,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.65
Turkey,TUR,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.19
Turkey,TUR,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.82
Turkey,TUR,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.7
Turkey,TUR,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,17.23
Turkey,TUR,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.94
Turkey,TUR,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,16.5
Turkey,TUR,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,23.6
Turkey,TUR,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,39.93
Turkey,TUR,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,14.65
Turkey,TUR,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,19.62
Turkey,TUR,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,23.9
Turkey,TUR,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,34
Turkey,TUR,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,37.81
Turkey,TUR,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,43.07
Turkey,TUR,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,55.11
Turkey,TUR,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,62.15
Turkey,TUR,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,72.4
Turkey,TUR,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,9.18
Turkey,TUR,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,11.88
Turkey,TUR,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,15.25
Turkey,TUR,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,23.8
