Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Turkmenistan,TKM,2014,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,188518
Turkmenistan,TKM,2014,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,91487
Turkmenistan,TKM,2014,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,48.52958
Turkmenistan,TKM,2014,"Gross graduation ratio from primary education, female (%)",SE.PRM.CMPL.FE.ZS,80.42492
Turkmenistan,TKM,2014,"Gross graduation ratio from primary education, male (%)",SE.PRM.CMPL.MA.ZS,81.97996
Turkmenistan,TKM,2014,"Gross graduation ratio from primary education, both sexes (%)",SE.PRM.CMPL.ZS,81.21147
Turkmenistan,TKM,2014,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,175607
Turkmenistan,TKM,2018,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,6
Turkmenistan,TKM,2017,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,6
Turkmenistan,TKM,2016,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,6
Turkmenistan,TKM,2015,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,6
Turkmenistan,TKM,2014,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,6
Turkmenistan,TKM,2013,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,2012,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,2011,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,2010,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,2009,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,2008,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,2007,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,2006,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,2005,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,2004,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,2003,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,2002,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,2001,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,2000,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,1999,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,1998,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,1997,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,1996,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,1995,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,1994,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,1993,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,1992,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,1991,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,1990,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
Turkmenistan,TKM,1989,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,5
