Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Uganda,UGA,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.07
Uganda,UGA,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.09
Uganda,UGA,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.14
Uganda,UGA,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.42
Uganda,UGA,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,25.29
Uganda,UGA,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,39.52
Uganda,UGA,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,49.66
Uganda,UGA,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,45.22
Uganda,UGA,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,55.1
Uganda,UGA,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.08
Uganda,UGA,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.09
Uganda,UGA,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.91
Uganda,UGA,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,10.38
Uganda,UGA,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,19.5
Uganda,UGA,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,35.01
Uganda,UGA,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,45.27
Uganda,UGA,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,34.91
Uganda,UGA,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,41.6
