Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Uruguay,URY,2014,Coverage: Finished Primary School,2.0.cov.FPS,88.4772956418321
Uruguay,URY,2012,Coverage: Finished Primary School,2.0.cov.FPS,85.1571009808637
Uruguay,URY,2000,Coverage: Finished Primary School,2.0.cov.FPS,81.4126709412518
Uruguay,URY,2014,HOI: Finished Primary School,2.0.hoi.FPS,85.1171325692027
Uruguay,URY,2012,HOI: Finished Primary School,2.0.hoi.FPS,80.7074308779962
Uruguay,URY,2000,HOI: Finished Primary School,2.0.hoi.FPS,76.6938245133901
Uruguay,URY,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.08
Uruguay,URY,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.23
Uruguay,URY,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.13
Uruguay,URY,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.16
Uruguay,URY,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.77
Uruguay,URY,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.1
Uruguay,URY,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.47
Uruguay,URY,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1
Uruguay,URY,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Uruguay,URY,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.19
Uruguay,URY,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.23
Uruguay,URY,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.05
Uruguay,URY,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.5
Uruguay,URY,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.21
Uruguay,URY,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.3
Uruguay,URY,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.42
Uruguay,URY,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.1
Uruguay,URY,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.66
Uruguay,URY,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.46
Uruguay,URY,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.76
Uruguay,URY,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,2.61
Uruguay,URY,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.44
Uruguay,URY,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.87
Uruguay,URY,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.18
Uruguay,URY,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.33
Uruguay,URY,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.5
Uruguay,URY,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,9.52
Uruguay,URY,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,1.34
Uruguay,URY,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,1.61
Uruguay,URY,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,2.53
Uruguay,URY,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.17
Uruguay,URY,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.25
Uruguay,URY,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,4.03
Uruguay,URY,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.57
Uruguay,URY,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,8.01
Uruguay,URY,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,9.27
Uruguay,URY,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.16
Uruguay,URY,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.33
Uruguay,URY,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.35
Uruguay,URY,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.51
Uruguay,URY,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.64
Uruguay,URY,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.4
