Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Uzbekistan,UZB,1996,DHS: Gross attendance rate. Post Secondary,HH.DHS.GAR.456,6.58369655913246
Uzbekistan,UZB,1996,DHS: Gross attendance rate. Post Secondary. Female,HH.DHS.GAR.456.F,4.98352679822365
Uzbekistan,UZB,1996,DHS: Gross attendance rate. Post Secondary. Male,HH.DHS.GAR.456.M,8.19712903955818
Uzbekistan,UZB,1996,DHS: Gross attendance rate. Post Secondary. Quintile 1,HH.DHS.GAR.456.Q1,2.04822578139986
Uzbekistan,UZB,1996,DHS: Gross attendance rate. Post Secondary. Quintile 2,HH.DHS.GAR.456.Q2,3.55114077271605
Uzbekistan,UZB,1996,DHS: Gross attendance rate. Post Secondary. Quintile 3,HH.DHS.GAR.456.Q3,8.2131934416445
Uzbekistan,UZB,1996,DHS: Gross attendance rate. Post Secondary. Quintile 4,HH.DHS.GAR.456.Q4,6.50796727479489
Uzbekistan,UZB,1996,DHS: Gross attendance rate. Post Secondary. Quintile 5,HH.DHS.GAR.456.Q5,12.5567922901155
Uzbekistan,UZB,1996,DHS: Gross attendance rate. Post Secondary. Rural,HH.DHS.GAR.456.R,5.85149994835356
Uzbekistan,UZB,1996,DHS: Gross attendance rate. Post Secondary. Urban,HH.DHS.GAR.456.U,7.74315054637561
Uzbekistan,UZB,1996,DHS: Net attendance rate. Primary,HH.DHS.NAR.1,97.5336204400149
Uzbekistan,UZB,1996,DHS: Net attendance rate. Primary. Female,HH.DHS.NAR.1.F,97.6087038776434
Uzbekistan,UZB,1996,DHS: Net attendance rate. Primary. Male,HH.DHS.NAR.1.M,97.4572966445132
Uzbekistan,UZB,1996,DHS: Net attendance rate. Primary. Quintile 1,HH.DHS.NAR.1.Q1,95.2284563012207
Uzbekistan,UZB,1996,DHS: Net attendance rate. Primary. Quintile 2,HH.DHS.NAR.1.Q2,97.7818591477273
Uzbekistan,UZB,1996,DHS: Net attendance rate. Primary. Quintile 3,HH.DHS.NAR.1.Q3,97.6246716470323
Uzbekistan,UZB,1996,DHS: Net attendance rate. Primary. Quintile 4,HH.DHS.NAR.1.Q4,98.8822867625297
Uzbekistan,UZB,1996,DHS: Net attendance rate. Primary. Quintile 5,HH.DHS.NAR.1.Q5,98.7733352607165
Uzbekistan,UZB,1996,DHS: Net attendance rate. Primary. Rural,HH.DHS.NAR.1.R,97.1247878055172
Uzbekistan,UZB,1996,DHS: Net attendance rate. Primary. Urban,HH.DHS.NAR.1.U,98.3335020507542
Uzbekistan,UZB,1996,DHS: Net attendance rate. Secondary,HH.DHS.NAR.23,65.5633873209323
Uzbekistan,UZB,1996,DHS: Net attendance rate. Secondary. Female,HH.DHS.NAR.23.F,66.3547724955625
Uzbekistan,UZB,1996,DHS: Net attendance rate. Secondary. Male,HH.DHS.NAR.23.M,64.7540517116249
Uzbekistan,UZB,1996,DHS: Net attendance rate. Secondary. Quintile 1,HH.DHS.NAR.23.Q1,61.8946272671106
Uzbekistan,UZB,1996,DHS: Net attendance rate. Secondary. Quintile 2,HH.DHS.NAR.23.Q2,64.3561510164196
Uzbekistan,UZB,1996,DHS: Net attendance rate. Secondary. Quintile 3,HH.DHS.NAR.23.Q3,66.25569184734
Uzbekistan,UZB,1996,DHS: Net attendance rate. Secondary. Quintile 4,HH.DHS.NAR.23.Q4,66.0518460171254
Uzbekistan,UZB,1996,DHS: Net attendance rate. Secondary. Quintile 5,HH.DHS.NAR.23.Q5,69.5464900293542
Uzbekistan,UZB,1996,DHS: Net attendance rate. Secondary. Rural,HH.DHS.NAR.23.R,64.5310869957837
Uzbekistan,UZB,1996,DHS: Net attendance rate. Secondary. Urban,HH.DHS.NAR.23.U,67.5500299509566
Uzbekistan,UZB,1996,DHS: Net intake rate for the first grade of primary education,HH.DHS.NIR.1,57.4916200996324
Uzbekistan,UZB,1996,DHS: Net intake rate for the first grade of primary education. Female,HH.DHS.NIR.1.F,57.9385730480119
Uzbekistan,UZB,1996,DHS: Net intake rate for the first grade of primary education. Male,HH.DHS.NIR.1.M,57.1045114651849
Uzbekistan,UZB,1996,DHS: Net intake rate for the first grade of primary education. Quintile 1,HH.DHS.NIR.1.Q1,61.9417695073561
Uzbekistan,UZB,1996,DHS: Net intake rate for the first grade of primary education. Quintile 2,HH.DHS.NIR.1.Q2,58.243074762164
Uzbekistan,UZB,1996,DHS: Net intake rate for the first grade of primary education. Quintile 3,HH.DHS.NIR.1.Q3,57.3106551071589
Uzbekistan,UZB,1996,DHS: Net intake rate for the first grade of primary education. Quintile 4,HH.DHS.NIR.1.Q4,53.2768824196942
Uzbekistan,UZB,1996,DHS: Net intake rate for the first grade of primary education. Quintile 5,HH.DHS.NIR.1.Q5,53.5467471842707
Uzbekistan,UZB,1996,DHS: Net intake rate for the first grade of primary education. Rural,HH.DHS.NIR.1.R,59.2652239856356
Uzbekistan,UZB,1996,DHS: Net intake rate for the first grade of primary education. Urban,HH.DHS.NIR.1.U,54.0400329294461
Uzbekistan,UZB,1996,DHS: Proportion of out-of-school. Primary,HH.DHS.OOS.1,1.69043659025609
Uzbekistan,UZB,1996,DHS: Proportion of out-of-school. Primary. Female,HH.DHS.OOS.1.F,1.33820345355689
Uzbekistan,UZB,1996,DHS: Proportion of out-of-school. Primary. Male,HH.DHS.OOS.1.M,2.04848852212637
Uzbekistan,UZB,1996,DHS: Proportion of out-of-school. Primary. Quintile 1,HH.DHS.OOS.1.Q1,3.10770575379033
Uzbekistan,UZB,1996,DHS: Proportion of out-of-school. Primary. Quintile 2,HH.DHS.OOS.1.Q2,1.78150182072892
Uzbekistan,UZB,1996,DHS: Proportion of out-of-school. Primary. Quintile 3,HH.DHS.OOS.1.Q3,1.65375743926479
Uzbekistan,UZB,1996,DHS: Proportion of out-of-school. Primary. Quintile 4,HH.DHS.OOS.1.Q4,0.628619678117278
Uzbekistan,UZB,1996,DHS: Proportion of out-of-school. Primary. Quintile 5,HH.DHS.OOS.1.Q5,0.828700062336303
Uzbekistan,UZB,1996,DHS: Proportion of out-of-school. Primary. Rural,HH.DHS.OOS.1.R,1.8875859245214
Uzbekistan,UZB,1996,DHS: Proportion of out-of-school. Primary. Urban,HH.DHS.OOS.1.U,1.30471364707161
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Dropped out,HH.DHS.OOST.DO,0
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Dropped out. Female,HH.DHS.OOST.DO.F,0
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Dropped out. Male,HH.DHS.OOST.DO.M,1.11e-14
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 1,HH.DHS.OOST.DO.Q1,-1.11e-14
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 2,HH.DHS.OOST.DO.Q2,0
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 3,HH.DHS.OOST.DO.Q3,18.734497044385
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 4,HH.DHS.OOST.DO.Q4,0
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 5,HH.DHS.OOST.DO.Q5,42.8327884470282
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Dropped out. Rural,HH.DHS.OOST.DO.R,0
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Dropped out. Urban,HH.DHS.OOST.DO.U,-5.6e-15
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Late entry,HH.DHS.OOST.L,44.6943428530454
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Late entry. Female,HH.DHS.OOST.L.F,20.2570663508948
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Late entry. Male,HH.DHS.OOST.L.M,60.9608715777145
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Late entry. Quintile 1,HH.DHS.OOST.L.Q1,24.8867057137558
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Late entry. Quintile 2,HH.DHS.OOST.L.Q2,100
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Late entry. Quintile 3,HH.DHS.OOST.L.Q3,56.2890012888424
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Late entry. Quintile 4,HH.DHS.OOST.L.Q4,100
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Late entry. Quintile 5,HH.DHS.OOST.L.Q5,57.1672115529718
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Late entry. Rural,HH.DHS.OOST.L.R,37.1231426094278
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Late entry. Urban,HH.DHS.OOST.L.U,62.8134104143892
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Never in school,HH.DHS.OOST.X,55.3056571469546
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Never in school. Female,HH.DHS.OOST.X.F,79.7429336491052
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Never in school. Male,HH.DHS.OOST.X.M,39.0391284222855
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Never in school. Quintile 1,HH.DHS.OOST.X.Q1,75.1132942862442
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Never in school. Quintile 2,HH.DHS.OOST.X.Q2,0
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Never in school. Quintile 3,HH.DHS.OOST.X.Q3,24.9765016667726
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Never in school. Quintile 4,HH.DHS.OOST.X.Q4,0
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Never in school. Quintile 5,HH.DHS.OOST.X.Q5,0
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Never in school. Rural,HH.DHS.OOST.X.R,62.8768573905722
Uzbekistan,UZB,1996,DHS: Typology of out-of-school children. Primary. Never in school. Urban,HH.DHS.OOST.X.U,37.1865895856108
Uzbekistan,UZB,1996,DHS: Average years of schooling by age group. Age 15-19,HH.DHS.YRS.1519,8.04511967073342
Uzbekistan,UZB,1996,DHS: Average years of schooling by age group. Age 15-19. Female,HH.DHS.YRS.1519.F,8.03091612012328
Uzbekistan,UZB,1996,DHS: Average years of schooling by age group. Age 15-19. Male,HH.DHS.YRS.1519.M,8.05845358876403
Uzbekistan,UZB,1996,DHS: Average years of schooling by age group. Age 15-19. Quintile 1,HH.DHS.YRS.1519.Q1,7.75812982047975
Uzbekistan,UZB,1996,DHS: Average years of schooling by age group. Age 15-19. Quintile 2,HH.DHS.YRS.1519.Q2,7.94447375665406
Uzbekistan,UZB,1996,DHS: Average years of schooling by age group. Age 15-19. Quintile 3,HH.DHS.YRS.1519.Q3,7.97694728974236
Uzbekistan,UZB,1996,DHS: Average years of schooling by age group. Age 15-19. Quintile 4,HH.DHS.YRS.1519.Q4,8.1241550962506
Uzbekistan,UZB,1996,DHS: Average years of schooling by age group. Age 15-19. Quintile 5,HH.DHS.YRS.1519.Q5,8.39977476284759
Uzbekistan,UZB,1996,DHS: Average years of schooling by age group. Age 15-19. Rural,HH.DHS.YRS.1519.R,8.00729320117412
Uzbekistan,UZB,1996,DHS: Average years of schooling by age group. Age 15-19. Urban,HH.DHS.YRS.1519.U,8.11027086148669
Uzbekistan,UZB,1996,DHS: Gini coefficient of average years of schooling. Age 15+,HH.DHS.YRS.15UP.GIN,17.2246479248429
Uzbekistan,UZB,1996,DHS: Gini coefficient of average years of schooling. Age 15+. Female,HH.DHS.YRS.15UP.GIN.F,17.3797378937077
Uzbekistan,UZB,1996,DHS: Gini coefficient of average years of schooling. Age 15+. Male,HH.DHS.YRS.15UP.GIN.M,16.8115014021603
Uzbekistan,UZB,1996,DHS: Gini coefficient of average years of schooling. Age 15+. Rural,HH.DHS.YRS.15UP.GIN.R,15.4904375877834
Uzbekistan,UZB,1996,DHS: Gini coefficient of average years of schooling. Age 15+. Urban,HH.DHS.YRS.15UP.GIN.U,19.0397190587211
Uzbekistan,UZB,2017,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,690975
Uzbekistan,UZB,2016,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,634052
Uzbekistan,UZB,2015,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,620769
Uzbekistan,UZB,2014,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,575805
Uzbekistan,UZB,2013,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,549762
Uzbekistan,UZB,2012,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,533677
Uzbekistan,UZB,2011,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,522945
Uzbekistan,UZB,2010,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,526850
Uzbekistan,UZB,2009,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,530436
Uzbekistan,UZB,2008,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,553550
Uzbekistan,UZB,2007,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,562218
Uzbekistan,UZB,2006,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,565564
Uzbekistan,UZB,2005,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,575093
Uzbekistan,UZB,2004,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,591713
Uzbekistan,UZB,2003,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,631146
