Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Vanuatu,VUT,2015,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,14301
Vanuatu,VUT,2013,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,13343
Vanuatu,VUT,2010,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,11264
Vanuatu,VUT,2009,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,11036
Vanuatu,VUT,2008,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,11663
Vanuatu,VUT,2007,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,11312
Vanuatu,VUT,2006,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,13863
Vanuatu,VUT,2005,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,13296
Vanuatu,VUT,2001,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,8710
Vanuatu,VUT,1999,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,8169
Vanuatu,VUT,1998,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,8169
Vanuatu,VUT,1992,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,5178
Vanuatu,VUT,1981,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1092
Vanuatu,VUT,1980,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1187
Vanuatu,VUT,1978,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1307
Vanuatu,VUT,1977,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1273
Vanuatu,VUT,1976,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1076
Vanuatu,VUT,1974,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,577
Vanuatu,VUT,1973,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,471
