Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Venezuela, RB",VEN,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.5
"Venezuela, RB",VEN,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,15.53
"Venezuela, RB",VEN,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.64
"Venezuela, RB",VEN,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.66
"Venezuela, RB",VEN,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.29
"Venezuela, RB",VEN,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.56
"Venezuela, RB",VEN,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,6.6
"Venezuela, RB",VEN,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,6.29
"Venezuela, RB",VEN,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.58
"Venezuela, RB",VEN,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.63
"Venezuela, RB",VEN,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,12.43
"Venezuela, RB",VEN,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,12.01
"Venezuela, RB",VEN,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,10
"Venezuela, RB",VEN,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,12.51
"Venezuela, RB",VEN,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.52
"Venezuela, RB",VEN,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.6
"Venezuela, RB",VEN,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,7.8
"Venezuela, RB",VEN,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.85
"Venezuela, RB",VEN,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,5.42
"Venezuela, RB",VEN,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,10.21
"Venezuela, RB",VEN,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,13.67
"Venezuela, RB",VEN,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,16.06
"Venezuela, RB",VEN,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,19.04
"Venezuela, RB",VEN,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,19.71
"Venezuela, RB",VEN,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,19.85
"Venezuela, RB",VEN,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,28.46
"Venezuela, RB",VEN,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,37.79
"Venezuela, RB",VEN,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.33
"Venezuela, RB",VEN,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,9.56
"Venezuela, RB",VEN,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,12.44
"Venezuela, RB",VEN,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,15.17
"Venezuela, RB",VEN,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,18.14
"Venezuela, RB",VEN,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,18.09
"Venezuela, RB",VEN,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,18
"Venezuela, RB",VEN,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,26.38
"Venezuela, RB",VEN,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,35.43
"Venezuela, RB",VEN,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.63
"Venezuela, RB",VEN,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.72
"Venezuela, RB",VEN,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,3.9
"Venezuela, RB",VEN,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,4.56
