Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Zambia,ZMB,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.87
Zambia,ZMB,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,13.91
Zambia,ZMB,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10.82
Zambia,ZMB,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,11.4
Zambia,ZMB,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,27.51
Zambia,ZMB,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,24.25
Zambia,ZMB,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,21.8
Zambia,ZMB,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.53
Zambia,ZMB,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,26
Zambia,ZMB,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.66
Zambia,ZMB,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.01
Zambia,ZMB,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.46
Zambia,ZMB,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,9.8
Zambia,ZMB,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,24.91
Zambia,ZMB,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,21.07
Zambia,ZMB,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,17.4
Zambia,ZMB,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,13.02
Zambia,ZMB,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,23
Zambia,ZMB,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,18.95
Zambia,ZMB,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,22.91
Zambia,ZMB,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,24.93
Zambia,ZMB,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,18.3
Zambia,ZMB,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,45.2
Zambia,ZMB,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,47.21
Zambia,ZMB,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,49.69
Zambia,ZMB,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,50.31
Zambia,ZMB,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,47.93
Zambia,ZMB,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,13.96
Zambia,ZMB,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,17.18
Zambia,ZMB,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,18.73
Zambia,ZMB,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,18.6
Zambia,ZMB,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,34.01
Zambia,ZMB,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,35.44
Zambia,ZMB,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,37.67
Zambia,ZMB,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,39.61
Zambia,ZMB,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,40.9
Zambia,ZMB,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,18.45
Zambia,ZMB,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,15.42
Zambia,ZMB,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,15.98
Zambia,ZMB,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,14.6
Zambia,ZMB,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,28.78
Zambia,ZMB,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,31.08
Zambia,ZMB,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,21.8
Zambia,ZMB,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,52.45
Zambia,ZMB,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,31.9
Zambia,ZMB,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,14.45
Zambia,ZMB,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,11.97
Zambia,ZMB,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,13.3
Zambia,ZMB,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,10.9
Zambia,ZMB,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,23.65
Zambia,ZMB,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,24.02
Zambia,ZMB,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,17.4
Zambia,ZMB,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,38.24
Zambia,ZMB,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,27.7
Zambia,ZMB,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,15.42
Zambia,ZMB,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,15.98
Zambia,ZMB,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,14.59
Zambia,ZMB,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,14.6
Zambia,ZMB,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,31.08
Zambia,ZMB,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,31.66
Zambia,ZMB,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,52.4
Zambia,ZMB,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,41.2
Zambia,ZMB,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,42.3
Zambia,ZMB,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,11.97
Zambia,ZMB,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,13.3
Zambia,ZMB,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,10.9
Zambia,ZMB,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,10.9
Zambia,ZMB,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,24.02
Zambia,ZMB,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,23.14
Zambia,ZMB,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,38.2
Zambia,ZMB,1975,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,32.47
Zambia,ZMB,1970,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,35.4
Zambia,ZMB,2010,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,25.19
Zambia,ZMB,2005,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,28.56
