Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Zimbabwe,ZWE,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Zimbabwe,ZWE,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Zimbabwe,ZWE,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.2
Zimbabwe,ZWE,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.09
Zimbabwe,ZWE,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.46
Zimbabwe,ZWE,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,19.96
Zimbabwe,ZWE,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.26
Zimbabwe,ZWE,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.89
Zimbabwe,ZWE,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.1
Zimbabwe,ZWE,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.1
Zimbabwe,ZWE,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.1
Zimbabwe,ZWE,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.18
Zimbabwe,ZWE,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.09
Zimbabwe,ZWE,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.04
Zimbabwe,ZWE,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,21.63
Zimbabwe,ZWE,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,25.55
Zimbabwe,ZWE,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,8.5
Zimbabwe,ZWE,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.84
Zimbabwe,ZWE,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,6.92
Zimbabwe,ZWE,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,8.95
Zimbabwe,ZWE,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,11.35
Zimbabwe,ZWE,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,13.92
Zimbabwe,ZWE,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,19.19
Zimbabwe,ZWE,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,27.9
Zimbabwe,ZWE,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,31.17
Zimbabwe,ZWE,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,33.24
Zimbabwe,ZWE,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,38.47
Zimbabwe,ZWE,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.08
Zimbabwe,ZWE,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,6.68
Zimbabwe,ZWE,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,8.5
Zimbabwe,ZWE,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,10.2
Zimbabwe,ZWE,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,14.58
Zimbabwe,ZWE,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,22.39
Zimbabwe,ZWE,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,26.59
Zimbabwe,ZWE,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,27.07
Zimbabwe,ZWE,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,32.47
Zimbabwe,ZWE,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.1
Zimbabwe,ZWE,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,5.44
Zimbabwe,ZWE,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.69
Zimbabwe,ZWE,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.5
Zimbabwe,ZWE,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,4.77
Zimbabwe,ZWE,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,16.4
Zimbabwe,ZWE,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,16.4
Zimbabwe,ZWE,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,24.54
Zimbabwe,ZWE,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,24.54
Zimbabwe,ZWE,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.1
Zimbabwe,ZWE,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,5.23
Zimbabwe,ZWE,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.51
Zimbabwe,ZWE,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.9
Zimbabwe,ZWE,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.33
Zimbabwe,ZWE,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,11
Zimbabwe,ZWE,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,11
Zimbabwe,ZWE,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,17.68
Zimbabwe,ZWE,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,17.68
Zimbabwe,ZWE,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,5.44
Zimbabwe,ZWE,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,1.69
Zimbabwe,ZWE,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,2.5
Zimbabwe,ZWE,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,4.69
Zimbabwe,ZWE,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,16.4
Zimbabwe,ZWE,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,16.4
Zimbabwe,ZWE,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,24.54
Zimbabwe,ZWE,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,24.54
Zimbabwe,ZWE,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,36.85
Zimbabwe,ZWE,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,5.23
Zimbabwe,ZWE,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,1.51
Zimbabwe,ZWE,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,1.89
Zimbabwe,ZWE,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,3.23
Zimbabwe,ZWE,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,11
Zimbabwe,ZWE,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,11
Zimbabwe,ZWE,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,17.68
Zimbabwe,ZWE,1975,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,17.68
Zimbabwe,ZWE,1970,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,27.45
Zimbabwe,ZWE,2010,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,11.61
Zimbabwe,ZWE,2005,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,13.44
